rank,headline,editorial_decision,caption_variant,caption
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Must Post,feed,"Angel Reese Posts Historic Double-Double in Dream vs Sky Victory

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Must Post,carousel,"Angel Reese Posts Historic Double-Double in Dream vs Sky Victory

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Must Post,story,"Angel Reese Posts Historic Double-Double in Dream vs Sky Victory

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says",Must Post,feed,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says",Must Post,carousel,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says",Must Post,story,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Maybe Post,feed,"Nelly Korda continues her historic march with 2026 U.S. Women's Open title

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
3,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Maybe Post,carousel,"Nelly Korda continues her historic march with 2026 U.S. Women's Open title

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
3,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Maybe Post,story,"Nelly Korda continues her historic march with 2026 U.S. Women's Open title

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
4,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Maybe Post,feed,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Maybe Post,carousel,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Maybe Post,story,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,feed,"Gotham FC announces first-ever ‘dedicated’ training facility

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,carousel,"Gotham FC announces first-ever ‘dedicated’ training facility

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,story,"Gotham FC announces first-ever ‘dedicated’ training facility

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,Save for Weekend,feed,"PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
