rank,headline,content_family,template_name,asset_shape,suggested_aspect_ratio,image_generation_prompt
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Angel Reese Posts Historic Double-Double in Dream vs Sky Victory'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
2,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says",Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
3,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Golf / LPGA. Content family: Milestone Card. Main headline: 'Nelly Korda continues her historic march with 2026 U.S. Women's Open title'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
4,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: WNBA. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
5,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: NWSL / Women's Soccer. Content family: Milestone Card. Main headline: 'Gotham FC announces first-ever ‘dedicated’ training facility'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: PWHL / Women's Hockey. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
7,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: Softball. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Grand Slams, Lights-Out Pitching Define AUSL Opening Day'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
8,San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028,Standard Feed,Standard Feed Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Standard Feed Card. Sport: NWSL / Women's Soccer. Content family: Standard Feed. Main headline: 'San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028'. Supporting line: 'This is a useful update, but it should be weighed against stronger stories.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use simple clean headline card with one supporting line and brand bug."
9,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Softball. Content family: Milestone Card. Main headline: 'Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
10,The 2027 FIVB Women’s Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: Volleyball. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'The 2027 FIVB Women’s Volleyball World Cup Selects Horizon Sports & Experiences as'. Slide 2 title: 'Why it matters' with body: 'This helps show the business momentum behind women's sports.'. Slide 3 title: 'The angle' with body: 'The business of women's sports is not emerging anymore. It is becoming big business.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
