rank,headline,sport,story_type,source,link,context_confidence,context_source_status,verified_context_notes,story_summary,key_fact_1,key_fact_2,key_fact_3,key_fact_4,winner,loser,final_score,matchup,game_time,tv_network,key_player_1,key_player_1_statline,key_player_2,key_player_2_statline,watch_angle,round_or_event,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,milestone_text,historical_context,key_number,number_context,business_impact,main_takeaway,next_game_or_implication,manual_review_flag,supplemental_search_queries,supplemental_source_count,supplemental_sources
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,WNBA,Record / Milestone,Just Women's Sports,https://justwomenssports.com/reads/dream-vs-sky-angel-reese-double-double-atlanta-dream-chicago-sky-wnba-commissioners-cup-score/,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""Angel Reese Posts Historic Double-Double in Dream vs Sky Victory"" record stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory exact record | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory milestone stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory WNBA records stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Just Women's Sports Supplemental source context: iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 || iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 iNFOnews.ca || MSN (Other): Dream top Sky as Angel Reese posts 17-17 double-double vs. old team","Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Angel Reese dominated in her return to Chicago, posting 17 points and 17 rebounds to propel the Atlanta Dream past the Chicago Sky.","Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Angel Reese dominated in her return to Chicago, posting 17 points and 17 rebounds to propel the Atlanta Dream past the Chicago Sky.",Reese led the way with 17 points and 17 rebounds in her first regular-season game against the team that drafted her in 2024.,The double-double marked Reese's 57th in 75 career games.,"Naz Hillmon scored a season-high 16 points on 50% shooting, including three 3-pointers.",,,82-75,,,,,,,,,,,,,,17 points,Reese led the way with 17 points and 17 rebounds in her first regular-season game against the team that drafted her in 2024.,17 points,"Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Angel Reese dominated in her return to Chicago, posting 17 points and 17 rebounds to propel the Atlanta Dream past the Chicago Sky.",,Reese led the way with 17 points and 17 rebounds in her first regular-season game against the team that drafted her in 2024.,,No,"""Angel Reese Posts Historic Double-Double in Dream vs Sky Victory"" record stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory exact record | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory milestone stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory WNBA records stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Just Women's Sports",5,"iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 || iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 iNFOnews.ca || MSN (Other): Dream top Sky as Angel Reese posts 17-17 double-double vs. old team || MSN (Other): Dream top Sky as Angel Reese posts 17-17 double-double vs. old team MSN || ESPN (Strong): Sky's Angel Reese second youngest to record triple-double"
2,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says",WNBA,Record / Milestone,The Athletic,https://sports.yahoo.com/articles/trump-not-extended-white-house-184607508.html,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says"" record stats | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says exact record | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says milestone stats | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says WNBA records stats | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says The Athletic Supplemental source context: Yahoo Sports (Strong): Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says || Yahoo Sports (Strong): Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says Yahoo Sports || The New York Times (Other): Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says The New York Times","Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says It's been nearly eight months since the Las Vegas Aces were crowned WNBA champions for the third time in four seasons.","Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says It's been nearly eight months since the Las Vegas Aces were crowned WNBA champions for the third time in four seasons.","The Athletic reached out to the White Hou Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says It's been nearly eight months since the Las Vegas Aces were crowned WNBA champions for the third time in four seasons.","Trump has yet to host a WNBA or NBA championship team during his terms, and this will be the first time the Aces have not made a White House visit after winning a title.",The Chicago Sky never visited Biden's White House after winning their first WNBA championship in 2021; the team didn't specify at the time whether an invitation was extended.,,,,,,,,,,,,,,,,,"Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says It's been nearly eight months since the Las Vegas Aces were crowned WNBA champions for the third time in four seasons.","The Athletic reached out to the White Hou Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says It's been nearly eight months since the Las Vegas Aces were crowned WNBA champions for the third time in four seasons.",,,,"The Athletic reached out to the White Hou Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says It's been nearly eight months since the Las Vegas Aces were crowned WNBA champions for the third time in four seasons.",,No,"""Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says"" record stats | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says exact record | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says milestone stats | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says WNBA records stats | Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says The Athletic",5,"Yahoo Sports (Strong): Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says || Yahoo Sports (Strong): Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says Yahoo Sports || The New York Times (Other): Trump has not extended White House invitation to 2025 WNBA champion Las Vegas Aces, team says The New York Times || Yahoo Sports (Strong): Aces reportedly did not receive invitation to celebrate 2025 WNBA championship at White House || Yahoo Sports (Strong): Aces reportedly did not receive invitation to celebrate 2025 WNBA championship at White House Yahoo Sports"
3,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Golf / LPGA,Record / Milestone,Yahoo Sports,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNclBwRHVsTER2cDlORWxGZmhiY1JoVU1oU1IzRGFsS1ROamZvSDlKcG8xOWEzRjFMOWNUU29IeFI1dUZISHZPWFpidzdWS2g2Y1d3MHZsVWZqQUFYZGRvb2ZHZkVVSkZkQkVZNmoyOTJWUTFFSkJucWFwMHNHVURvY1psaVhWOFFTNEhv?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""Nelly Korda continues her historic march with 2026 U.S. Women's Open title"" record stats | Nelly Korda continues her historic march with 2026 U.S. Women's Open title exact record | Nelly Korda continues her historic march with 2026 U.S. Women's Open title milestone stats | Nelly Korda continues her historic march with 2026 U.S. Women's Open title Yahoo Sports Supplemental source context: Yahoo Sports (Strong): Nelly Korda continues her historic march with 2026 U.S. Women's Open title || Yahoo Sports (Strong): Nelly Korda's Historic Win at the 2026 U.S. Women's Open Redefines Her Legacy || Yahoo Sports (Strong): Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy Verify exact stats, scores, records, player details, and jersey numbers before final design.",Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Nelly Korda's Historic Win at the 2026 U.S. Women's Open Redefines Her Legacy,Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy,Nelly Korda is in position for a historic U.S. Women's Open win at Riviera,,,,,,,,,,,,,,,,,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Nelly Korda's Historic Win at the 2026 U.S. Women's Open Redefines Her Legacy,,,,Nelly Korda's Historic Win at the 2026 U.S. Women's Open Redefines Her Legacy,,Yes,"""Nelly Korda continues her historic march with 2026 U.S. Women's Open title"" record stats | Nelly Korda continues her historic march with 2026 U.S. Women's Open title exact record | Nelly Korda continues her historic march with 2026 U.S. Women's Open title milestone stats | Nelly Korda continues her historic march with 2026 U.S. Women's Open title Yahoo Sports",5,"Yahoo Sports (Strong): Nelly Korda continues her historic march with 2026 U.S. Women's Open title || Yahoo Sports (Strong): Nelly Korda's Historic Win at the 2026 U.S. Women's Open Redefines Her Legacy || Yahoo Sports (Strong): Nelly Korda picks up historic U.S. Women's Open win by mere inches at Riviera to further bolster legacy || Yahoo Sports (Strong): Nelly Korda is in position for a historic U.S. Women's Open win at Riviera || Yahoo Sports (Strong): U.S. Women's Open: Nelly Korda birdies late to complete rally, secure latest major championship win at Riviera"
4,"A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",WNBA,League Expansion,Just Women's Sports,https://justwomenssports.com/reads/time-100-most-influential-people-sports-list-womens-athletes-dawn-staley-aja-wilson-2026/,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List"" | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List amount number details | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List purse revenue viewership attendance investment | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List Just Women's Sports Supplemental source context: On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list || On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list On3 || Time Magazine (Other): TIME100 Most Influential People in Sports 2026: Dawn Staley","TIME took special interest in the Winter Olympics , after the stars of Milan Cortina broke into the public consciousness this past February.","TIME took special interest in the Winter Olympics , after the stars of Milan Cortina broke into the public consciousness this past February.",3 Seeds for Queens Club Doubles Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,"US and Canada hockey rivals Hilary Knight and Marie-Philip Poulin headlined the selection, while skiers Lindsey Vonn, Eileen Gu, and Mikaela Shiffrin, and Paralympian Oksana Masters joined Liu in the spotlight.","Venus Williams, Alexandra Eala Reportedly Team Up for 2026 Bad Homburg Doubles Bid Serena Williams, Victoria Mboko Draw No.",,,,,,,,,,,,,,,,,,,,,3 Seeds for Queens Club Doubles Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,3 Seeds for Queens Club Doubles Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,,No,"""A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List"" | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List amount number details | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List purse revenue viewership attendance investment | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List Just Women's Sports",5,"On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list || On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list On3 || Time Magazine (Other): TIME100 Most Influential People in Sports 2026: Dawn Staley || Time Magazine (Other): TIME100 Most Influential People in Sports 2026: Dawn Staley Time Magazine || Post and Courier (Other): 2 Gamecock greats land on inaugural TIME list of 100 influential people in sports"
5,Gotham FC announces first-ever ‘dedicated' training facility,NWSL / Women's Soccer,Record / Milestone,Equalizer Soccer,https://news.google.com/rss/articles/CBMiogFBVV95cUxPRTAyUG93UzNGVDZWWFVzcmhFUXBKQ3NhZF9aQUJYNHB0cklZQ2hvVzdnSGZweFR1Y1BWSFFQNEF5Qk1abHZZNDBZMDdUZGpTbVF6TVMyS1c3d0ZqSWFMOWktY0p6ajAwem5FQmNQUGphbHJtNDl0MmNVZ0tiS2J1WHBmQ1RWRnUwODN3WVc1NW9lWi1zMFJLYkhaQXktNV9QdVE?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""Gotham FC announces first-ever ‘dedicated' training facility"" record stats | Gotham FC announces first-ever ‘dedicated' training facility exact record | Gotham FC announces first-ever ‘dedicated' training facility milestone stats | Gotham FC announces first-ever ‘dedicated' training facility Equalizer Soccer Supplemental source context: Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' || Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports || All For XI (Other): Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win Verify exact stats, scores, records, player details, and jersey numbers before final design.","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge'","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge'","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports",Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win,Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win All For XI,,,2-0,,,,,,,,,,,,,,"Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge'","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports",,,,"Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports",,Yes,"""Gotham FC announces first-ever ‘dedicated' training facility"" record stats | Gotham FC announces first-ever ‘dedicated' training facility exact record | Gotham FC announces first-ever ‘dedicated' training facility milestone stats | Gotham FC announces first-ever ‘dedicated' training facility Equalizer Soccer",5,"Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' || Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports || All For XI (Other): Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win || All For XI (Other): Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win All For XI || Yahoo Sports (Strong): Gotham FC announces dedicated training facility"
6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,PWHL / Women's Hockey,League Expansion,PWHL,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNMG5qTFRtOU80X1M1RG5zMmtoa3B3QXpIRDd6ZmM0bzVfVllLS0Item5vSC1uVkFxRE5oS3VSUE00YkNBclVEUVBNWmQxYVptbk8tS0xCbTRldUQ3NHR1RWxrdTNGQXNmY3I2RlBtOFRmUDRSU1dpMFBlOTBQcmRHRjlKOHZhMk1LbzFzX0U0akFINlkyTHpUWkRsREp4R1VNbWVpeXRfNmp1TTBZUHdNajc5NHk2dy1UNFZnTHd3ZDJ1azNPVlVQOFlTemhsaVhmYjhaVkRBdi1EQTktcG9yb1Yxb3lNZw?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS"" | PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS amount number details | PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS purse revenue viewership attendance investment | PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL Supplemental source context: PWHL (Other): PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS || PWHL (Other): PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL || PWHL (Other): PWHL ANNOUNCES PLAYER PROTECTION LISTS FOR PHASE 1 OF 2026 EXPANSION ROSTER BUILDING PROCESS | PWHL - Professional Women's Hockey League Verify exact stats, scores, records, player details, and jersey numbers before final design.",PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL,PWHL ANNOUNCES PLAYER PROTECTION LISTS FOR PHASE 1 OF 2026 EXPANSION ROSTER BUILDING PROCESS | PWHL - Professional Women's Hockey League,PWHL ANNOUNCES PLAYER PROTECTION LISTS FOR PHASE 1 OF 2026 EXPANSION ROSTER BUILDING PROCESS.,,,,,,,,,,,,,,,,,,,,,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL,,Yes,"""PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS"" | PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS amount number details | PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS purse revenue viewership attendance investment | PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL",5,PWHL (Other): PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS || PWHL (Other): PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS PWHL || PWHL (Other): PWHL ANNOUNCES PLAYER PROTECTION LISTS FOR PHASE 1 OF 2026 EXPANSION ROSTER BUILDING PROCESS | PWHL - Professional Women's Hockey League || PWHL (Other): PWHL ANNOUNCES PLAYER PROTECTION LISTS FOR PHASE 1 OF 2026 EXPANSION ROSTER BUILDING PROCESS. || PWHL (Other): PWHL ANNOUNCES 2026 EXPANSION PLAYER DISTRIBUTION PROCESS
7,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Softball,League Expansion,Just Women's Sports,https://justwomenssports.com/reads/ausl-opening-day-2026-montana-fouts-softball-schedule-scores/,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""Grand Slams, Lights-Out Pitching Define AUSL Opening Day"" | Grand Slams, Lights-Out Pitching Define AUSL Opening Day amount number details | Grand Slams, Lights-Out Pitching Define AUSL Opening Day purse revenue viewership attendance investment | Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports Supplemental source context: Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day || Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports","Grand Slams, Lights-Out Pitching Define AUSL Opening Day AUSL kicked off 2026 with an Opening Day triple-header, as Maya Brady scored a grand slam and Montana Fouts pitched a complete game.","Grand Slams, Lights-Out Pitching Define AUSL Opening Day AUSL kicked off 2026 with an Opening Day triple-header, as Maya Brady scored a grand slam and Montana Fouts pitched a complete game.","The AUSL championship rematch saw the Talons control the game early, coming away with a 5-2 win.","AUSL kicked off 2026 with an Opening Day triple-header, as Maya Brady scored a grand slam and Montana Fouts pitched a complete game.",Athletes Unlimited Softball (AUSL) opened its second season with a pro softball triple-header that set the tone for 2026.,,,5-2,,,,,,,,,,,,,,,,,,"The AUSL championship rematch saw the Talons control the game early, coming away with a 5-2 win.","The AUSL championship rematch saw the Talons control the game early, coming away with a 5-2 win.",,No,"""Grand Slams, Lights-Out Pitching Define AUSL Opening Day"" | Grand Slams, Lights-Out Pitching Define AUSL Opening Day amount number details | Grand Slams, Lights-Out Pitching Define AUSL Opening Day purse revenue viewership attendance investment | Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports",2,"Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day || Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports"
8,San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028,NWSL / Women's Soccer,Breaking / Transaction,Equalizer Soccer,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNTWJKNHZmTE05dG9oRi1iR1FueDlMcFdia25VdDdwUGdrSTRqSzhRb1RXaUYyOW4zMjVZY0FyY25oQzFzNkROcjdpYVd5VVNERkdpemlReWFoanFDWEtHNUdfajV1Rmd2ZERnV0xqTmdHczZFUlQ5VEtWMmZZTE5EeFpsM1pyTFNPUUl4WElxMlhZUVgySHIzMllOZW1LdlItbDBTNjdEMlZ1aVU?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028"" | San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028 details | San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028 Equalizer Soccer Supplemental source context: All For XI (Other): San Diego Wave sign Spanish goalkeeper Sandra Paños || All For XI (Other): San Diego Wave sign Spanish goalkeeper Sandra Paños All For XI || Reuters (Strong): Wave sign Spanish GK Sandra Panos to 3-year deal Verify exact stats, scores, records, player details, and jersey numbers before final design.",San Diego Wave sign Spanish goalkeeper Sandra Paños,San Diego Wave sign Spanish goalkeeper Sandra Paños,San Diego Wave sign Spanish goalkeeper Sandra Paños All For XI,Wave sign Spanish GK Sandra Panos to 3-year deal,Wave sign Spanish GK Sandra Panos to 3-year deal Reuters,,,,,,,,,,,,,,,,,,,,,,San Diego Wave sign Spanish goalkeeper Sandra Paños All For XI,,Yes,"""San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028"" | San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028 details | San Diego Wave signs Spanish goalkeeper Sandra Paños through 2028 Equalizer Soccer",5,All For XI (Other): San Diego Wave sign Spanish goalkeeper Sandra Paños || All For XI (Other): San Diego Wave sign Spanish goalkeeper Sandra Paños All For XI || Reuters (Strong): Wave sign Spanish GK Sandra Panos to 3-year deal || Reuters (Strong): Wave sign Spanish GK Sandra Panos to 3-year deal Reuters || All For XI (Other): Breakout Star: Angel City FC forward Riley Tiernan signs contract extension through 2028
9,"Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game",Softball,Record / Milestone,Togethxr,https://news.google.com/rss/articles/CBMifEFVX3lxTE5SOHI0eXB5eGNXajNwX0IteXBGN01RSXJMZS1hTzlqZm5HQ2RKVUtHbUdJaEFEdXFDbzZQVGZfQXJZWlVaM3FiZkVfRlk4NnFBSTRVRU5OMlprS0dxcFFrVWtaTGZIajRIWE1OR2FmVTF2N2JRWjFoMGZ0SzA?oc=5,Medium,fallback_summary,"Skipped Google News aggregator URL. Supplemental searches used: ""Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game"" record stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game exact record | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game milestone stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr Verify exact stats, scores, records, player details, and jersey numbers before final design.","Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr","Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr",,,,,,,,,,,,,,,,,,,,"Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr",Milestone is headline-confirmed. Verify exact record details before adding supporting stats.,,,,Milestone is headline-confirmed. Verify exact record details before adding supporting stats.,,Yes,"""Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game"" record stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game exact record | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game milestone stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr",0,
10,The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency,Volleyball,Business / Growth,Volleyball World,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNRlN4WWN4ZVhESVpkZHFVdUNYNEx3X2RWSFBObWRTM0xMSWo4aFIxb1hPR3ZCNUQwbTdjMXAxTWxrd1c5RjdNQkM3QVBvNWRIM3BRYV9UclZsUS0yTThERXQ2dEozT1J0TzRKTkF6ZElPVnAtMDZ6VXQ2ZGkxOC1XOVYzQ3hxZ1hyTk9XZ3NqYjZDVW9KZUtFR3lLSERtekR3OXZWNjRxVndncFoyQzRXQ0s3OTV1N29rbi1xSThGcmZQNG1NbVF1Nkxhak5OTkttUjZtZEhxNzBFNDZKMWR1dnd1WkxUS1d1UUFwdjdzeThEaEdlcHF6dkR6TFU?oc=5,Medium,fallback_summary,"Skipped Google News aggregator URL. Supplemental searches used: ""The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency"" | The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency amount number details | The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency purse revenue viewership attendance investment | The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency Volleyball World Verify exact stats, scores, records, player details, and jersey numbers before final design.",The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency Volleyball World,The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency Volleyball World,,,,,,,,,,,,,,,,,,,,,,,,Business/growth angle is headline-confirmed. Verify exact numbers from the source before designing.,Business/growth angle is headline-confirmed. Verify exact numbers from the source before designing.,,Yes,"""The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency"" | The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency amount number details | The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency purse revenue viewership attendance investment | The 2027 FIVB Women's Volleyball World Cup Selects Horizon Sports & Experiences as Exclusive Sponsorship Sales and Media Rights Agency Volleyball World",0,
