event_id,league_label,matchup,game_state,winner,final_score,performer_rank,player_name,team,statline,source
401856978,WNBA,Connecticut Sun at Toronto Tempo,Final,Toronto Tempo,Connecticut Sun 102 - Toronto Tempo 106,1,Brittney Sykes,Toronto Tempo,"PTS 38, REB 4, AST 1, STL 2, BLK 1",WNBA
401856979,WNBA,Los Angeles Sparks at Seattle Storm,Final,Los Angeles Sparks,Los Angeles Sparks 88 - Seattle Storm 83,1,Kelsey Plum,Los Angeles Sparks,"PTS 19, REB 1, AST 11, STL 4, FG 6-17",WNBA
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky 106 - Indiana Fever 114,1,Aliyah Boston,Indiana Fever,"PTS 34, REB 12, AST 3, STL 1, BLK 2",WNBA
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,New York Liberty 104 - Atlanta Dream 90,1,Angel Reese,Atlanta Dream,"PTS 25, REB 9, AST 3, STL 2, BLK 1",WNBA
401856978,WNBA,Connecticut Sun at Toronto Tempo,Final,Toronto Tempo,Connecticut Sun 102 - Toronto Tempo 106,2,Laura Juskaite,Toronto Tempo,"PTS 19, REB 6, AST 2, STL 4, BLK 1",WNBA
401856979,WNBA,Los Angeles Sparks at Seattle Storm,Final,Los Angeles Sparks,Los Angeles Sparks 88 - Seattle Storm 83,2,Nneka Ogwumike,Los Angeles Sparks,"PTS 24, REB 9, AST 1, STL 1, FG 9-18",WNBA
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky 106 - Indiana Fever 114,2,Caitlin Clark,Indiana Fever,"PTS 32, REB 7, AST 10, FG 8-18, 3PT 1-6",WNBA
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,New York Liberty 104 - Atlanta Dream 90,2,Breanna Stewart,New York Liberty,"PTS 19, REB 11, AST 5, STL 2, BLK 1",WNBA
401856978,WNBA,Connecticut Sun at Toronto Tempo,Final,Toronto Tempo,Connecticut Sun 102 - Toronto Tempo 106,3,Leila Lacan,Connecticut Sun,"PTS 24, REB 1, AST 7, STL 1, BLK 1",WNBA
401856979,WNBA,Los Angeles Sparks at Seattle Storm,Final,Los Angeles Sparks,Los Angeles Sparks 88 - Seattle Storm 83,3,Flau'jae Johnson,Seattle Storm,"PTS 14, REB 12, AST 6, FG 4-11, 3PT 1-4",WNBA
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky 106 - Indiana Fever 114,3,Sydney Taylor,Chicago Sky,"PTS 30, REB 2, AST 2, STL 1, BLK 1",WNBA
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,New York Liberty 104 - Atlanta Dream 90,3,Rhyne Howard,Atlanta Dream,"PTS 24, REB 4, AST 3, STL 4, BLK 1",WNBA
401856978,WNBA,Connecticut Sun at Toronto Tempo,Final,Toronto Tempo,Connecticut Sun 102 - Toronto Tempo 106,4,Saniya Rivers,Connecticut Sun,"PTS 12, REB 7, AST 7, STL 1, BLK 2",WNBA
401856979,WNBA,Los Angeles Sparks at Seattle Storm,Final,Los Angeles Sparks,Los Angeles Sparks 88 - Seattle Storm 83,4,Cameron Brink,Los Angeles Sparks,"PTS 15, REB 6, AST 1, BLK 2, FG 5-7",WNBA
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky 106 - Indiana Fever 114,4,Azura Stevens,Chicago Sky,"PTS 10, REB 9, AST 6, STL 1, BLK 1",WNBA
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,New York Liberty 104 - Atlanta Dream 90,4,Jonquel Jones,New York Liberty,"PTS 16, REB 10, AST 5, BLK 3, FG 5-8",WNBA
401856978,WNBA,Connecticut Sun at Toronto Tempo,Final,Toronto Tempo,Connecticut Sun 102 - Toronto Tempo 106,5,Marina Mabrey,Toronto Tempo,"PTS 21, REB 1, AST 1, STL 3, FG 8-20",WNBA
401856979,WNBA,Los Angeles Sparks at Seattle Storm,Final,Los Angeles Sparks,Los Angeles Sparks 88 - Seattle Storm 83,5,Awa Fam,Seattle Storm,"PTS 12, REB 6, AST 4, BLK 2, FG 4-6",WNBA
401856980,WNBA,Chicago Sky at Indiana Fever,Final,Indiana Fever,Chicago Sky 106 - Indiana Fever 114,5,Kelsey Mitchell,Indiana Fever,"PTS 19, REB 1, AST 3, STL 3, FG 7-17",WNBA
401856981,WNBA,New York Liberty at Atlanta Dream,Final,New York Liberty,New York Liberty 104 - Atlanta Dream 90,5,Pauline Astier,New York Liberty,"PTS 16, REB 8, AST 5, FG 6-10, 3PT 1-2",WNBA
401856982,WNBA,Phoenix Mercury at Dallas Wings,Upcoming,Dallas Wings,Phoenix Mercury 59 - Dallas Wings 77,1,Paige Bueckers,Dallas Wings,"PTS 31, REB 5, AST 4, STL 1, FG 14-20",WNBA
401856983,WNBA,Las Vegas Aces at Portland Fire,Upcoming,Portland Fire,Las Vegas Aces 38 - Portland Fire 42,1,Chelsea Gray,Las Vegas Aces,"PTS 12, REB 3, AST 1, FG 4-5, 3PT 4-5",WNBA
401856982,WNBA,Phoenix Mercury at Dallas Wings,Upcoming,Dallas Wings,Phoenix Mercury 59 - Dallas Wings 77,2,Jessica Shepard,Dallas Wings,"PTS 17, REB 10, AST 7, STL 2, FG 7-8",WNBA
401856983,WNBA,Las Vegas Aces at Portland Fire,Upcoming,Portland Fire,Las Vegas Aces 38 - Portland Fire 42,2,Teja Oblak,Portland Fire,"PTS 7, REB 2, AST 3, STL 1, FG 2-3",WNBA
401856982,WNBA,Phoenix Mercury at Dallas Wings,Upcoming,Dallas Wings,Phoenix Mercury 59 - Dallas Wings 77,3,Alyssa Thomas,Phoenix Mercury,"PTS 6, REB 9, AST 8, STL 3, FG 3-7",WNBA
