posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,199,2,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,196,1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,174,3,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel",Maybe Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Use when convenient,Post 3rd,Downgraded from Must Post because the daily Must Post cap was reached.
4,159,5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Tennis,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,157,6,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,Track & Field,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
6,154,4,Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title,Maybe Post,Tennis,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post later today,"Strong candidate, but not mandatory."
7,127,7,PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,Save for Weekend,PWHL / Women's Hockey,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,119,8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,NWSL / Women's Soccer,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
9,113,9,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Save for Weekend,Cricket,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
10,112,10,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,Women's Sports,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
