post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Post ASAP,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
3,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel",Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Downgraded from Must Post because the daily Must Post cap was reached.
4,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title,Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
7,PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,Quick hit: PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,"Use a simple PWHL / Women's Hockey news card with headline, context, and one engagement question.",Useful but not urgent.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
9,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
10,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
