rank,headline,content_family,template_name,asset_shape,suggested_aspect_ratio,image_generation_prompt
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path'. Slide 2 title: 'Why it matters' with body: 'This is timely WNBA coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for WNBA fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
2,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth'. Slide 2 title: 'Why it matters' with body: 'This is timely WNBA coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for WNBA fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
3,"Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel",Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Kelsey Plum, Kahleah Copper Make WNBA History in Historic Overtime Duel'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
4,Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Postgame Recap Card. Sport: Tennis. Content family: Postgame Recap. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Vekic sweeps by Raducanu at Queen's to secure first career WTA 500 title'. Slide 2 title: 'Why it matters' with body: 'This is timely Tennis coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for Tennis fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use recap structure, outcome first, top performer callout, and one takeaway panel."
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Tennis. Content family: Milestone Card. Main headline: 'Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
6,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Track & Field. Content family: Milestone Card. Main headline: 'Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
7,PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,Standard Feed,Standard Feed Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Standard Feed Card. Sport: PWHL / Women's Hockey. Content family: Standard Feed. Main headline: 'PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft'. Supporting line: 'This is a useful update, but it should be weighed against stronger stories.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use simple clean headline card with one supporting line and brand bug."
8,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: NWSL / Women's Soccer. Content family: Milestone Card. Main headline: 'Gotham FC announces first-ever ‘dedicated’ training facility'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
9,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Cricket. Content family: Milestone Card. Main headline: 'India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is,'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
10,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Women's Sports. Content family: Milestone Card. Main headline: 'Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
