rank,headline,editorial_decision,caption_variant,caption
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,feed,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major

What happened, who stood out, and why it matters for Golf / LPGA fans.

Why it matters: This is timely Golf / LPGA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,carousel,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Golf / LPGA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,story,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major

Quick hit: This is timely Golf / LPGA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
2,Texas wins second straight Women's College World Series title | FINAL OUT,Must Post,feed,"Texas wins second straight Women's College World Series title | FINAL OUT

What happened, who stood out, and why it matters for Softball fans.

Why it matters: This is timely Softball coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
2,Texas wins second straight Women's College World Series title | FINAL OUT,Must Post,carousel,"Texas wins second straight Women's College World Series title | FINAL OUT

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Softball coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
2,Texas wins second straight Women's College World Series title | FINAL OUT,Must Post,story,"Texas wins second straight Women's College World Series title | FINAL OUT

Quick hit: This is timely Softball coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,feed,"Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,carousel,"Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,story,"Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Verify First,feed,"Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Verify First,carousel,"Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Verify First,story,"Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,feed,"Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,carousel,"Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,story,"Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
6,Report: Las Vegas trading Hilary Knight to PWHL expansion Detroit,Maybe Post,feed,"Report: Las Vegas trading Hilary Knight to PWHL expansion Detroit

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
6,Report: Las Vegas trading Hilary Knight to PWHL expansion Detroit,Maybe Post,carousel,"Report: Las Vegas trading Hilary Knight to PWHL expansion Detroit

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
6,Report: Las Vegas trading Hilary Knight to PWHL expansion Detroit,Maybe Post,story,"Report: Las Vegas trading Hilary Knight to PWHL expansion Detroit

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Maybe Post,feed,"Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
7,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Maybe Post,carousel,"Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
7,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Maybe Post,story,"Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
