rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Tonight in the W 4-Slide Template,"Liberty clinch spot in Commissioner’s Cup final, contemplate","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,"Liberty clinch spot in Commissioner’s Cup final,",The story you need to know.
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Tonight in the W 4-Slide Template,"Liberty clinch spot in Commissioner’s Cup final, contemplate","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Tonight in the W 4-Slide Template,"Liberty clinch spot in Commissioner’s Cup final, contemplate","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for WNBA fans."
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Tonight in the W 4-Slide Template,"Liberty clinch spot in Commissioner’s Cup final, contemplate","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,1,Hook,"Gauff wins third career WTA 1000 title, ends Pegula’s",The story you need to know.
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,2,Context,What happened,This is timely Tennis coverage with a result fans may want explained quickly.
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Tennis fans."
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Tonight in the W 4-Slide Template,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,Jonquel Jones Scores 20 as Liberty Clinches,The story you need to know.
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Tonight in the W 4-Slide Template,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Tonight in the W 4-Slide Template,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for WNBA fans."
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Tonight in the W 4-Slide Template,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Tonight in the W 4-Slide Template,Angel Reese Makes WNBA History Days After Rival Caitlin Clark,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Angel Reese Makes WNBA History Days After Rival,The story you need to know.
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Tonight in the W 4-Slide Template,Angel Reese Makes WNBA History Days After Rival Caitlin Clark,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Tonight in the W 4-Slide Template,Angel Reese Makes WNBA History Days After Rival Caitlin Clark,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Tonight in the W 4-Slide Template,Angel Reese Makes WNBA History Days After Rival Caitlin Clark,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,"Mercedes-Benz, WTA launch first-ever star-shaped court",The story you need to know.
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Standard Feed Card Template,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,1,Hook,Jamelle Elliott Leaves UConn Women’s Basketball,The story you need to know.
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Standard Feed Card Template,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Standard Feed Card Template,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,3,Angle,The angle,Quick hit: Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Standard Feed Card Template,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,4,CTA,Your take on this NCAA Women's Basketball story?,Follow Her Sports Daily for more.
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Milestone Graphic Template,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,Georgia Track & Field Secures 2nd Consecutive NCAA,The story you need to know.
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Milestone Graphic Template,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Milestone Graphic Template,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Milestone Graphic Template,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Track & Field story?,Follow Her Sports Daily for more.
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Growth Carousel Template,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,1,Hook,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER,The story you need to know.
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Growth Carousel Template,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Growth Carousel Template,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Growth Carousel Template,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,4,CTA,Your take on this PWHL / Women's Hockey story?,Follow Her Sports Daily for more.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,1,Hook,Juli Inkster Becomes Oldest Player to Make a Cut on,The story you need to know.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,3,Angle,The angle,A milestone worth putting into context.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,4,CTA,Your take on this Golf / LPGA story?,Follow Her Sports Daily for more.
10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Recruiting News Template,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC:,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,1,Hook,How JuJu Watkins used her GM skills to recruit Saniyah,The story you need to know.
10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Recruiting News Template,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC:,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,2,Context,Why it matters,Recruiting and roster stories show where the next wave of stars is coming from.
10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Recruiting News Template,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC:,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,3,Angle,The angle,A future-star angle with a clear roster-building hook.
