rank,headline,editorial_decision,caption_variant,caption
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,feed,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,carousel,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,story,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,feed,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,carousel,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,story,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Maybe Post,feed,"Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Maybe Post,carousel,"Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Maybe Post,story,"Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Verify First,feed,"Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Verify First,carousel,"Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Verify First,story,"Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,feed,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,carousel,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,story,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Maybe Post,feed,"Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff

Quick hit: Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff

Why it matters: This is a useful update, but it should be weighed against stronger stories.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball"
