post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post second,Post ASAP,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.",Downgraded from Must Post because the daily Must Post cap was reached.
4,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Maybe Post,Standard Feed,Standard Feed Card,single 4:5 feed card,Make if time today,Use when convenient,Quick hit: Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.","Strong candidate, but not mandatory."
5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make if time today,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
8,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Save for Weekend,Roster News,Roster Update Card,single 4:5 feed card,Save for weekend,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",Useful but not urgent.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
10,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
