posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,196,1,"Liberty clinch spot in Commissioner’s Cup final, contemplate following Knicks’ title path",Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,186,2,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,Tennis,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,168,3,Jonquel Jones Scores 20 as Liberty Clinches Commissioner’s Cup Berth,Maybe Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post within 2 hours if still fresh,Post 3rd,Downgraded from Must Post because the daily Must Post cap was reached.
4,163,6,Jamelle Elliott Leaves UConn Women’s Basketball Coaching Staff,Maybe Post,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,156,5,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Tennis,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
6,156,8,PWHL COMPLETES PHASE 4 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM SIGNINGS AND SELECTIONS,Maybe Post,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Post later today,"Strong candidate, but not mandatory."
7,154,7,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,Track & Field,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
8,128,10,How JuJu Watkins used her GM skills to recruit Saniyah Hall to USC: 'I was in her ear about committing',Save for Weekend,NCAA Women's Basketball,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
9,117,9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,Golf / LPGA,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
10,112,4,Angel Reese Makes WNBA History Days After Rival Caitlin Clark Rewrites Record Book,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
