script_version,rank,editorial_decision,recommended_timing,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,time_sensitive,verification_needed,sensitive,duplicate_status,related_story_count,cluster_rank,cluster_id,primary_entity,content_lane,content_bucket,sport,story_type,source,headline,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,published,age_hours,decision_reason,score_reason,notes
v11_final,1,Must Post,Post ASAP,77,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,wnba::wnba_expansion_soars_historic_2027_wnba_officially_hitting,,Daily news,Daily News,WNBA,Record / Milestone,USA TODAY Sports,WNBA expansion soars with historic 50-game season in 2027,https://sports.yahoo.com/articles/wnba-expansion-soars-historic-50-150058605.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: WNBA expansion soars with historic 50-game season in 2027,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,WNBA expansion soars with historic 50-game season in 2027 What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-17T15:00:58+00:00,7.4,"High-score, timely, verified hard-news story.",Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,2,Verify First,Verify first,77,8,6,Other,Yes,Passed: clear women's sports signal.,No,Yes,No,Primary,3,1,wnba::caitlin_clark_records,Caitlin Clark,Star-driven engagement,Star Watch,WNBA,Record / Milestone,The Sporting News,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,https://sports.yahoo.com/articles/caitlin-clarks-latest-post-had-202413090.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-17T20:24:13+00:00,2.0,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,3,Maybe Post,Use when convenient,75,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,nwsl / women's soccer::sudan_women's_soccer_defies_war_prejudice_make_historic,,Daily news,Daily News,NWSL / Women's Soccer,Record / Milestone,Yahoo Sports,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,https://news.google.com/rss/articles/CBMihgFBVV95cUxPLXBrN2RhVEkxZHhJQVVkQ2VISXgwRE5HNUk0d0RPSnJDSVhsSTlQc3N6Z0JnZkE2YU4zRVRVZkN3UkhzcHhFUlZaWEY5V0Q3VTBjbFJaNS1lajZDNVlnTzdPcGFjVWRJWGtNblRkQjhHMGI0TXl6c3Rfd0RoTU9DN1ZQV2dLUQ?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Sudan women’s soccer team defies war and prejudice to make historic return to international stage What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer,2026-06-17T14:32:51+00:00,7.9,"Strong candidate, but not mandatory.",Record or milestone. Fresh under 12 hours. Core brand sport: NWSL / Women's Soccer. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,4,Maybe Post,Use when convenient,73,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,3,1,wnba::atlanta dream,Atlanta Dream,Daily news,Daily News,WNBA,Record / Milestone,Atlanta Dream | WNBA,Dream Notches First-Ever Win Against Expansion Toronto Tempo,https://news.google.com/rss/articles/CBMikgFBVV95cUxPUW5wVUFFRzYwZjByTXJvQ0pNMnd3VUZhR0I5R0VVdHRvUUI2WUw1eVZrUGVHN24yMjRxbmZZeW92T05JRmxwUE5jQ0o2N1F4R2RJMFl5SVlaWmVuQVpueU1NM01zQ1VYWGtTS19rQXQ2YXQ2Y05DWWNfLU1NNTI3Qmt2OVdZWjl1bWhNbmtSY1Z3UQ?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Dream Notches First-Ever Win Against Expansion Toronto Tempo,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Dream Notches First-Ever Win Against Expansion Toronto Tempo What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-14T22:30:49+00:00,71.9,"Strong candidate, but not mandatory.",Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,5,Maybe Post,Use when convenient,73,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,2,1,nwsl / women's soccer::angel city,Angel City,Daily news,Daily News,NWSL / Women's Soccer,Record / Milestone,Equalizer Soccer,Angel City fire head coach Alex Straus,https://equalizersoccer.com/2026/06/17/angel-city-fire-head-coach-alex-straus/,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Angel City fire head coach Alex Straus,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Angel City fire head coach Alex Straus What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer,2026-06-17T18:43:39+00:00,3.7,"Strong candidate, but not mandatory.",Record or milestone. Fresh under 12 hours. Core brand sport: NWSL / Women's Soccer. Source quality 8/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,6,Maybe Post,Use when convenient,71,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,track & field::sha'carri richardson,Sha'Carri Richardson,Star-driven engagement,Star Watch,Track & Field,Record / Milestone,NCAA.com,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,https://news.google.com/rss/articles/CBMi0AFBVV95cUxObnBtV1YxcUxLd1F0dlhTUm90TERMcDF4VVdFWndwcE5KU1hlWnEzbTI1SndxdUxpX2hHNHk3b3otZ2Vvb1ZuTHJoX1lXaXZzb3l4OWE3TkxTcjh5T2xTbDdma3BDRk0ycGF1dG42cmlLckRJVnVST2pqYWRhSm5uOERMMVhhQThqMnpubkhQc3hVZngzRFlZVTN3aXgtX0d0bG9GMTMyMEVRSlZfR0lvZFF1X2lLeG5PdWM3SEdmOTNXbEFzUTQtSmx3OHN2VUY0?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #TrackAndField,2026-06-12T15:14:55+00:00,127.2,"Strong candidate, but not mandatory.","Record or milestone. Still usable this week. Strong secondary sport: Track & Field. Source quality 10/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,7,Maybe Post,Use when convenient,69,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,tennis::mercedes_benz_wta_launch_ever_star_shaped_court,,Daily news,Daily News,Tennis,Record / Milestone,WTA Tennis,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",https://news.google.com/rss/articles/CBMitAFBVV95cUxQWGJjWFAyODY2S2hhWUtCMWdGRUxfWlI1TDdtTEtiWlBqQllYUUlycEZQX1Y4VXI4V0dQLThHRFZjZFBRcEFrM3FkYWdTcXg2OWdteTRLeFZHSnV5SG11NFEyNzdxXzFHZ0txRDJpTGNzZUVuTHV0aFJNRWNxREJhZmF2alA5TXlVb0tKd0ZxLUJzY2JPRzBmdXhCeXZfcVJEMlVRSHJvMDhNOEVmdVJXQWVTZ0Q?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-15T11:29:44+00:00,58.9,"Strong candidate, but not mandatory.",Record or milestone. Recent under 72 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,8,Maybe Post,Use when convenient,69,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,53,1,pwhl / women's hockey::pwhl,Pwhl,Daily news,Daily News,PWHL / Women's Hockey,Breaking / Transaction,Yahoo Sports,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,https://news.google.com/rss/articles/CBMijgFBVV95cUxQMFE0cDZvaFBSNUpNVUZ1cHJjTVJIelFBWldITjBtSlJteHI3YTV3VURHeUZXZlB0TjJGZ3hDczVZV1pfanJKTS1GVnRrSV9pWTdSYURoZHBrc0lsQXNiVHFSQkpMR1dPbkFmdmFBMV9OOWpFTlI0bDMzV25PWU9IWjhfT3FMcjNIVU1uQ0R3?oc=5,Story post,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Slide 1: headline | Slide 2: context | Slide 3: why it matters | Slide 4: audience question,Quick hit: Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,"This is a useful update, but it should be weighed against stronger stories.",Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft What should we cover next?,"Use a simple PWHL / Women's Hockey news card with headline, context, and one engagement question.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,2026-06-17T21:17:02+00:00,1.2,"Strong candidate, but not mandatory.",Confirmed breaking or transaction story. Fresh under 6 hours. Core brand sport: PWHL / Women's Hockey. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,9,Maybe Post,Post during daytime engagement window,69,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,2,1,ncaa women's basketball::juju watkins,Juju Watkins,Star-driven engagement,Roster / Recruiting,NCAA Women's Basketball,Recruiting / Roster News,Just Women's Sports,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,https://justwomenssports.com/reads/juju-watkins-recruits-saniyah-hall-usc-trojans-womens-college-basketball/,Roster/recruiting graphic,The next wave of talent is already changing the future.,Roster watch: How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Slide 1: roster/recruiting news | Slide 2: who is involved | Slide 3: why it matters | Slide 4: what comes next,A future-star angle with a clear roster-building hook.,Recruiting and roster stories show where the next wave of stars is coming from.,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC How big is this move for the program?,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-17T20:31:41+00:00,1.9,"Strong candidate, but not mandatory.","Recruiting or roster-building story. Fresh under 6 hours. Core brand sport: NCAA Women's Basketball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,10,Save for Weekend,Save for weekend or filler slot,67,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,ncaa women's basketball::sec_opponents_announced_mizzou_women's_basketball_sec_opponents,,College spotlight,College Spotlight,NCAA Women's Basketball,Breaking / Transaction,Yahoo Sports,SEC opponents announced for Mizzou women’s basketball,https://news.google.com/rss/articles/CBMijgFBVV95cUxNZC1xVlVuZWprNENpTXZfWld6anJkb0NrTENuQnk1ZzRzdVhJVnVXYjY3Q3dzazh2bzRoQ0NBblE1SmxDcnhsN2xMOFI1OUhmLVRaaHVMVkdsQXdqeEFhdHBlVTRYQU02WU9ScFRCRTM5M0Z5Z1U1XzY5Y0kzNUlLNUg1UFBwWFhnUjg3QnRB?oc=5,Story post,SEC opponents announced for Mizzou women’s basketball,SEC opponents announced for Mizzou women’s basketball,Slide 1: headline | Slide 2: context | Slide 3: why it matters | Slide 4: audience question,Quick hit: SEC opponents announced for Mizzou women’s basketball,"This is a useful update, but it should be weighed against stronger stories.",SEC opponents announced for Mizzou women’s basketball What should we cover next?,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-17T21:16:05+00:00,1.2,Useful but not urgent.,Confirmed breaking or transaction story. Fresh under 6 hours. Core brand sport: NCAA Women's Basketball. Source quality 9/10. Engagement: normal interest. Penalties: no major penalties.,
