rank,headline,content_family,template_name,asset_shape,suggested_aspect_ratio,image_generation_prompt
1,WNBA expansion soars with historic 50-game season in 2027,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'WNBA expansion soars with historic 50-game season in 2027'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: NWSL / Women's Soccer. Content family: Milestone Card. Main headline: 'Sudan women’s soccer team defies war and prejudice to make historic return to'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Dream Notches First-Ever Win Against Expansion Toronto Tempo'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
5,Angel City fire head coach Alex Straus,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: NWSL / Women's Soccer. Content family: Milestone Card. Main headline: 'Angel City fire head coach Alex Straus'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Track & Field. Content family: Milestone Card. Main headline: 'Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Tennis. Content family: Milestone Card. Main headline: 'Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
8,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Standard Feed,Standard Feed Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Standard Feed Card. Sport: PWHL / Women's Hockey. Content family: Standard Feed. Main headline: 'Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft'. Supporting line: 'This is a useful update, but it should be weighed against stronger stories.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use simple clean headline card with one supporting line and brand bug."
9,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Roster News,Roster Update Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Roster Update Card. Sport: NCAA Women's Basketball. Content family: Roster News. Main headline: 'How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC'. Supporting line: 'Recruiting and roster stories show where the next wave of stars is coming from.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete/program focus, breaking-update feel, and one concise why-it-matters line."
10,SEC opponents announced for Mizzou women’s basketball,Standard Feed,Standard Feed Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Standard Feed Card. Sport: NCAA Women's Basketball. Content family: Standard Feed. Main headline: 'SEC opponents announced for Mizzou women’s basketball'. Supporting line: 'This is a useful update, but it should be weighed against stronger stories.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use simple clean headline card with one supporting line and brand bug."
