rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,WNBA expansion soars with historic 50-game season in 2027,Tonight in the W 4-Slide Template,WNBA expansion soars with historic 50-game season in 2027,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,WNBA expansion soars with historic 50-game season in,The story you need to know.
1,WNBA expansion soars with historic 50-game season in 2027,Tonight in the W 4-Slide Template,WNBA expansion soars with historic 50-game season in 2027,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,WNBA expansion soars with historic 50-game season in 2027,Tonight in the W 4-Slide Template,WNBA expansion soars with historic 50-game season in 2027,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,WNBA expansion soars with historic 50-game season in 2027,Tonight in the W 4-Slide Template,WNBA expansion soars with historic 50-game season in 2027,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Tonight in the W 4-Slide Template,Caitlin Clark's latest post had Sophie Cunningham asking one question,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Caitlin Clark's latest post had Sophie Cunningham,The story you need to know.
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Tonight in the W 4-Slide Template,Caitlin Clark's latest post had Sophie Cunningham asking one question,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Tonight in the W 4-Slide Template,Caitlin Clark's latest post had Sophie Cunningham asking one question,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Tonight in the W 4-Slide Template,Caitlin Clark's latest post had Sophie Cunningham asking one question,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Milestone Graphic Template,Sudan women’s soccer team defies war and prejudice to make historic,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,1,Hook,Sudan women’s soccer team defies war and prejudice to,The story you need to know.
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Milestone Graphic Template,Sudan women’s soccer team defies war and prejudice to make historic,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Milestone Graphic Template,Sudan women’s soccer team defies war and prejudice to make historic,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,3,Angle,The angle,A milestone worth putting into context.
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Milestone Graphic Template,Sudan women’s soccer team defies war and prejudice to make historic,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,4,CTA,Your take on this NWSL / Women's Soccer story?,Follow Her Sports Daily for more.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Dream Notches First-Ever Win Against Expansion Toronto,The story you need to know.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
5,Angel City fire head coach Alex Straus,Milestone Graphic Template,Angel City fire head coach Alex Straus,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,1,Hook,Angel City fire head coach Alex Straus,The story you need to know.
5,Angel City fire head coach Alex Straus,Milestone Graphic Template,Angel City fire head coach Alex Straus,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
5,Angel City fire head coach Alex Straus,Milestone Graphic Template,Angel City fire head coach Alex Straus,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,3,Angle,The angle,A milestone worth putting into context.
5,Angel City fire head coach Alex Straus,Milestone Graphic Template,Angel City fire head coach Alex Straus,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,4,CTA,Your take on this NWSL / Women's Soccer story?,Follow Her Sports Daily for more.
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's,The story you need to know.
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Track & Field story?,Follow Her Sports Daily for more.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,"Mercedes-Benz, WTA launch first-ever star-shaped court",The story you need to know.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
8,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Standard Feed Card Template,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,1,Hook,Caroline Harvey Selected First Overall By The Vancouver,The story you need to know.
8,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Standard Feed Card Template,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
8,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Standard Feed Card Template,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,3,Angle,The angle,Quick hit: Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft
8,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Standard Feed Card Template,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,4,CTA,Your take on this PWHL / Women's Hockey story?,Follow Her Sports Daily for more.
9,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Recruiting News Template,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,1,Hook,How Trojans Star JuJu Watkins Recruited No. 2 Prospect,The story you need to know.
9,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Recruiting News Template,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,2,Context,Why it matters,Recruiting and roster stories show where the next wave of stars is coming from.
9,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Recruiting News Template,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,3,Angle,The angle,A future-star angle with a clear roster-building hook.
9,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Recruiting News Template,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,4,CTA,Your take on this NCAA Women's Basketball story?,Follow Her Sports Daily for more.
10,SEC opponents announced for Mizzou women’s basketball,Standard Feed Card Template,SEC opponents announced for Mizzou women’s basketball,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,1,Hook,SEC opponents announced for Mizzou women’s basketball,The story you need to know.
10,SEC opponents announced for Mizzou women’s basketball,Standard Feed Card Template,SEC opponents announced for Mizzou women’s basketball,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
10,SEC opponents announced for Mizzou women’s basketball,Standard Feed Card Template,SEC opponents announced for Mizzou women’s basketball,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,3,Angle,The angle,Quick hit: SEC opponents announced for Mizzou women’s basketball
10,SEC opponents announced for Mizzou women’s basketball,Standard Feed Card Template,SEC opponents announced for Mizzou women’s basketball,"This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,4,CTA,Your take on this NCAA Women's Basketball story?,Follow Her Sports Daily for more.
