post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,WNBA expansion soars with historic 50-game season in 2027,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
2,Angel City fire head coach Alex Straus,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post second,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
4,How Trojans Star JuJu Watkins Recruited No. 2 Prospect Saniyah Hall to USC,Maybe Post,Roster News,Roster Update Card,single 4:5 feed card,Make if time today,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.","Strong candidate, but not mandatory."
5,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,Maybe Post,Standard Feed,Standard Feed Card,single 4:5 feed card,Make if time today,Use when convenient,Quick hit: Caroline Harvey Selected First Overall By The Vancouver Goldeneyes At The 2026 PWHL Draft,"Use a simple PWHL / Women's Hockey news card with headline, context, and one engagement question.","Strong candidate, but not mandatory."
7,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
8,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
9,SEC opponents announced for Mizzou women’s basketball,Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,Quick hit: SEC opponents announced for Mizzou women’s basketball,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
10,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
