rank,headline,editorial_decision,caption_variant,caption
1,WNBA expansion soars with historic 50-game season in 2027,Must Post,feed,"WNBA expansion soars with historic 50-game season in 2027

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,WNBA expansion soars with historic 50-game season in 2027,Must Post,carousel,"WNBA expansion soars with historic 50-game season in 2027

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,WNBA expansion soars with historic 50-game season in 2027,Must Post,story,"WNBA expansion soars with historic 50-game season in 2027

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Verify First,feed,"Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Verify First,carousel,"Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win,Verify First,story,"Caitlin Clark's latest post had Sophie Cunningham asking one question after Fever's record-setting win

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Maybe Post,feed,"Sudan women’s soccer team defies war and prejudice to make historic return to international stage

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Maybe Post,carousel,"Sudan women’s soccer team defies war and prejudice to make historic return to international stage

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
3,Sudan women’s soccer team defies war and prejudice to make historic return to international stage,Maybe Post,story,"Sudan women’s soccer team defies war and prejudice to make historic return to international stage

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,feed,"Dream Notches First-Ever Win Against Expansion Toronto Tempo

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,carousel,"Dream Notches First-Ever Win Against Expansion Toronto Tempo

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,story,"Dream Notches First-Ever Win Against Expansion Toronto Tempo

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Angel City fire head coach Alex Straus,Maybe Post,feed,"Angel City fire head coach Alex Straus

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,Angel City fire head coach Alex Straus,Maybe Post,carousel,"Angel City fire head coach Alex Straus

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,Angel City fire head coach Alex Straus,Maybe Post,story,"Angel City fire head coach Alex Straus

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,feed,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,carousel,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
6,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,story,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,feed,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
