sport_family,league_id,team_id,team_name,player_id,display_name,candidate_id,local_candidate_path,source_url,photo_candidate_url,approval_status,identity_review_status,allowed_decisions,operator_decision,identity_verified,source_reviewed,local_file_reviewed,source_allowed_for_review_only,rights_reviewed,source_url_to_record,registry_action,operator_notes,reviewed_by,reviewed_at_local,approval_scope,publish_ready,auto_approval,auto_publish,move_files,paid_apis,asset_downloads
womens_hockey,pwhl,boston_fleet,Boston Fleet,,operator_add_player_from_team_roster,boston_fleet_roster_source_candidate_01,assets/leagues/womens_hockey/pwhl/athletes/boston_fleet/boston_fleet_roster_source_candidate_01/headshot.png,https://www.thepwhl.com/en/teams/boston-fleet/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,boston_fleet,Boston Fleet,,operator_add_player_from_team_profile_source,boston_fleet_team_profile_source_candidate_02,assets/leagues/womens_hockey/pwhl/athletes/boston_fleet/boston_fleet_team_profile_source_candidate_02/headshot.png,https://www.thepwhl.com/en/teams/boston-fleet,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,boston_fleet,Boston Fleet,,operator_add_player_from_league_player_index,boston_fleet_league_player_index_candidate_03,assets/leagues/womens_hockey/pwhl/athletes/boston_fleet/boston_fleet_league_player_index_candidate_03/headshot.png,https://www.thepwhl.com/en/stats/player-stats,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,detroit,PWHL Detroit,,operator_add_player_from_team_roster,detroit_roster_source_candidate_01,assets/leagues/womens_hockey/pwhl/athletes/detroit/detroit_roster_source_candidate_01/headshot.png,https://www.thepwhl.com/en/teams/detroit/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,detroit,PWHL Detroit,,operator_add_player_from_team_profile_source,detroit_team_profile_source_candidate_02,assets/leagues/womens_hockey/pwhl/athletes/detroit/detroit_team_profile_source_candidate_02/headshot.png,https://www.thepwhl.com/en/teams/detroit,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,detroit,PWHL Detroit,,operator_add_player_from_league_player_index,detroit_league_player_index_candidate_03,assets/leagues/womens_hockey/pwhl/athletes/detroit/detroit_league_player_index_candidate_03/headshot.png,https://www.thepwhl.com/en/stats/player-stats,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,hamilton,PWHL Hamilton,,operator_add_player_from_team_roster,hamilton_roster_source_candidate_01,assets/leagues/womens_hockey/pwhl/athletes/hamilton/hamilton_roster_source_candidate_01/headshot.png,https://www.thepwhl.com/en/teams/hamilton/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,hamilton,PWHL Hamilton,,operator_add_player_from_team_profile_source,hamilton_team_profile_source_candidate_02,assets/leagues/womens_hockey/pwhl/athletes/hamilton/hamilton_team_profile_source_candidate_02/headshot.png,https://www.thepwhl.com/en/teams/hamilton,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,hamilton,PWHL Hamilton,,operator_add_player_from_league_player_index,hamilton_league_player_index_candidate_03,assets/leagues/womens_hockey/pwhl/athletes/hamilton/hamilton_league_player_index_candidate_03/headshot.png,https://www.thepwhl.com/en/stats/player-stats,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,las_vegas,PWHL Las Vegas,,operator_add_player_from_team_roster,las_vegas_roster_source_candidate_01,assets/leagues/womens_hockey/pwhl/athletes/las_vegas/las_vegas_roster_source_candidate_01/headshot.png,https://www.thepwhl.com/en/teams/las-vegas/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,las_vegas,PWHL Las Vegas,,operator_add_player_from_team_profile_source,las_vegas_team_profile_source_candidate_02,assets/leagues/womens_hockey/pwhl/athletes/las_vegas/las_vegas_team_profile_source_candidate_02/headshot.png,https://www.thepwhl.com/en/teams/las-vegas,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,las_vegas,PWHL Las Vegas,,operator_add_player_from_league_player_index,las_vegas_league_player_index_candidate_03,assets/leagues/womens_hockey/pwhl/athletes/las_vegas/las_vegas_league_player_index_candidate_03/headshot.png,https://www.thepwhl.com/en/stats/player-stats,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
womens_hockey,pwhl,minnesota_frost,Minnesota Frost,,operator_add_player_from_team_roster,minnesota_frost_roster_source_candidate_01,assets/leagues/womens_hockey/pwhl/athletes/minnesota_frost/minnesota_frost_roster_source_candidate_01/headshot.png,https://www.thepwhl.com/en/teams/minnesota-frost/roster,,not_approved,source_review_ready_identity_not_filled,hold_identity|revise_source_metadata|deny_photo_candidate,hold_identity,no,no,no,no,no,,hold_no_registry_state_change_until_local_candidate_asset_exists,"Pending manual source and rights review; after Mike opens the source page, he may mark source_reviewed/source_allowed/rights_reviewed manually. Identity and approval still stay held until a named athlete and local candidate asset exist. No approval-state change.",,,review_only_renderer_womens_hockey_athlete_photo_trust_manual_intake,false,false,false,false,false,false
