rank,headline,editorial_decision,caption_variant,caption
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Must Post,feed,"Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Must Post,carousel,"Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Must Post,story,"Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Verify First,feed,"Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Verify First,carousel,"Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Verify First,story,"Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Must Post,feed,"Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Must Post,carousel,"Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Must Post,story,"Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Maybe Post,feed,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
