script_version,rank,editorial_decision,recommended_timing,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,time_sensitive,verification_needed,sensitive,duplicate_status,related_story_count,cluster_rank,cluster_id,primary_entity,content_lane,content_bucket,sport,story_type,source,headline,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,published,age_hours,decision_reason,score_reason,notes
v11_final,1,Must Post,Post ASAP,82,9,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,tennis::vekic_sweeps_raducanu_queen's_club_secure_career_wta,,Game coverage,Tonight / Game Coverage,Tennis,Game Recap / Result,WTA Tennis,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,https://news.google.com/rss/articles/CBMivwFBVV95cUxPY0hjMkx6SUhqX3lJTGhDZTJMdFl0dEpEYlk3OC02dlYzME5oYXQ5TF9veVZLT0p2OTBtYTR2QlZQYUVFUEdlOHJZZmplTmlhQkVlc0tZQ1l0LWFwUzBEVkpIbXd1MmJqTXAwWFMzRHd5M2ZfTmlIaVRlMkc4SFNEVTVqNFhnTXRFcGlVLXBYZnNTQmZ4UTNjN2t5LUI0VlFIbElFUGFsek4ybWRqYU5pNllmVzBqOEJxcWl3czVKRQ?oc=5,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,Quick recap: Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Tennis fans.",This is timely Tennis coverage with a result fans may want explained quickly.,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-14T17:14:17+00:00,3.6,"High-score, timely, verified hard-news story.",Championship or major result. Fresh under 6 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,2,Verify First,Verify first,79,8,6,Other,Yes,Passed: clear women's sports signal.,No,Yes,No,Primary,8,1,wnba::kelsey plum,Kelsey Plum,Star-driven engagement,Star Watch,WNBA,Record / Milestone,LA Sports Report,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,https://sports.yahoo.com/articles/kelsey-plum-historic-43-point-150000664.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-14T15:00:00+00:00,5.8,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,3,Must Post,Post ASAP,76,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,3,1,wnba::los angeles sparks,Los Angeles Sparks,Daily news,Daily News,WNBA,Record / Milestone,Los Angeles Sparks | WNBA,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,https://news.google.com/rss/articles/CBMioAFBVV95cUxPbHRiVFZVOXlHVndrQktERmxlT3R0NnJOQXFoZ2k5UlNRUE1JWjFIZl9kTS1GVllHLVd1VHFkRFJpY05aaEdlbENuN3ExVnJ1MlB0c3A5c1NmRVJmWmxPT0RpNlN3WFhUaGQ1a0tQN2V6elJoSk5IY0hQOTZaMzJMMG0tRjBDb0x5U2Y3aDg3UDA5cUoxZkp6cXIydFB2VFBw?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-14T08:53:30+00:00,11.9,"High-score, timely, verified hard-news story.",Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,4,Maybe Post,Use when convenient,76,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,7,1,wnba::aja_wilson,A'Ja Wilson,Star-driven engagement,Star Watch,WNBA,Record / Milestone,FOX Sports,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",https://news.google.com/rss/articles/CBMi0AFBVV95cUxNR1p1b0xqcHhSMVZONVlkV1BLdFAwa3plNm8yeXktSWZhZlhXVmRwazZXUEtYeGR3d0ZyUGQwSXpLQy1Gd2JkOFVKZVpIUlU4SUhvS2pCVlJUUmRnY3lMXzk3X0VucHM2VkhNY3NWdWV1T2g4Zk1aTTloaXh0V2gwSXN1bEgwc2ljUHpuRGNCWmM2MU5mSmhsUktKM3NZbmtrTndxN2JwcTgzaERSMnhwckF6VGtucFpubVJFQ21xMExHeTBMRHlUS2x6VUZUeXpX?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-12T04:35:49+00:00,64.2,Downgraded from Must Post because the daily Must Post cap was reached.,"Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,5,Maybe Post,Post within 2 hours if still fresh,75,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,track & field::georgia_wins_2026_women's_outdoor_track_field_championship,,Game coverage,Tonight / Game Coverage,Track & Field,Game Recap / Result,NCAA.com,Georgia wins the 2026 DI women's outdoor track and field championship,https://news.google.com/rss/articles/CBMixAFBVV95cUxObGJ1RmU1c2Q1TVhCZVczdm1INnNwNW4wbnFWZEFTRkFDUzUzT1h4R0Mtc1BXbnpqV1FwZzd6ZmZ5U2JSX1hjYjRuR2ZtODRxRDFhX1p5SkdIU0Y4a24xZ2VjUmZQbEtMOFBSSFVHQllNN2JkRXVJbzJKWlNCZGE0UG0wb3VIMGM2SmdfNk9CU1NSTmhhdGZWWmN6STlFU0lYTnVPelRGYmd5MzdKVG5HcTJEeTJhRUowZUpoZXpJR3d4MjFl?oc=5,Story post,Here is the quick version of what happened and why it matters.,Quick recap: Georgia wins the 2026 DI women's outdoor track and field championship,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Track & Field fans.",This is timely Track & Field coverage with a result fans may want explained quickly.,Georgia wins the 2026 DI women's outdoor track and field championship Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #TrackAndField,2026-06-14T05:33:31+00:00,15.3,"Strong candidate, but not mandatory.",Championship or major result. Fresh under 24 hours. Strong secondary sport: Track & Field. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,6,Maybe Post,Post during daytime engagement window,70,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,25,1,pwhl / women's hockey::pwhl,Pwhl,Growth of the game,Growth of the Game,PWHL / Women's Hockey,League Expansion,Yahoo Sports,"Following Expansion, Veterans In The 2026 PWHL Draft Will See Their Stock Skyrocket",https://news.google.com/rss/articles/CBMijgFBVV95cUxPN3F3QlN4VDZiMjBXT0xpX21QR0J1Zm5leWNwR1B5M3VRd1R3M21mWGZ5LVFvR3pFUDVGbENnd0wzalhqY0JEakpfSmIxOExOaTNDVmpEQkNRRGxiSUlNYnRwb1E3ZkxoeV9hNWJ6Q3E2TnlTbmhVeFF4YkpheldVUlhWMjdSTU96RnhhLVp3?oc=5,Map/expansion carousel,Another market is betting big on women's sports.,"Expansion watch: Following Expansion, Veterans In The 2026 PWHL Draft Will See Their Stock Skyrocket",Slide 1: expansion headline | Slide 2: market/team details | Slide 3: why demand is rising | Slide 4: fan question,Another sign that women's sports demand is outgrowing the old model.,Expansion stories show where fan demand and investor confidence are rising.,"Following Expansion, Veterans In The 2026 PWHL Draft Will See Their Stock Skyrocket More teams, more investment, more proof that the demand is real.","Use a map, team/logo style graphic, or market comparison carousel.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,2026-06-14T11:12:04+00:00,9.6,"Strong candidate, but not mandatory.",Expansion story. Fresh under 12 hours. Core brand sport: PWHL / Women's Hockey. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,7,Maybe Post,Post within 2 hours if still fresh,69,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,tennis::gauff_wins_career_wta_1000_title_ends_pegula's,,Game coverage,Tonight / Game Coverage,Tennis,Game Recap / Result,WTA Tennis,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",https://news.google.com/rss/articles/CBMitwFBVV95cUxPbXUtY0FsX1VUd3JSQUFoTV9oQm1UX3RjMFdwREVZaVdsb2lVUmZWSmc1VmMwVm5XMU5MU3FWbm5xU2lEbDYzN09STDJyYmdzejhPR2cySW9GcHJqMF80QklwcHVRUXltUVBEZUFlem9LR1kxYmVFZWRvS2JjTHA3SnhQTlcyMWtCbnNNUW1qYmNmVEtheG5Ma0VpbndhZlQxOHJRdS1DQ3ppSy12OElNeTV2bE9BODA?oc=5,Story post,Here is the quick version of what happened and why it matters.,"Quick recap: Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Tennis fans.",This is timely Tennis coverage with a result fans may want explained quickly.,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan Here is the quick breakdown and why it matters.","Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-13T09:48:23+00:00,35.0,"Strong candidate, but not mandatory.",Championship or major result. Aging under 48 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,8,Maybe Post,Use when convenient,68,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,cricket::india_women's_pakistan_women's_head_head_record_who,,Daily news,Daily News,Cricket,Record / Milestone,Yahoo Sports,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",https://news.google.com/rss/articles/CBMihwFBVV95cUxNTy0zNUJaMUNpMFlWRzNNa3RXdWw1RDl0aXNZT0RMZDBpUk13OEtrc2pnWHdYMl9LS2w0X0dnUGVLaXhGR1psQWJTRmREd1U4R2NsNS1oc1FrOWc4SDRyQUlwNEJxcHozQ0tLRzgwcnVMMlYzaUo3ak1fNmVSZ2dVTy1VaFdOdjQ?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,"Milestone watch: India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups? What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #Cricket,2026-06-14T12:02:25+00:00,8.8,"Strong candidate, but not mandatory.",Record or milestone. Fresh under 12 hours. Niche growth sport: Cricket. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,9,Save for Weekend,Save for weekend or filler slot,66,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,softball::former_ucla_softball_star_megan_grant_crushes_record,,College spotlight,College Spotlight,Softball,Record / Milestone,Just Women's Sports,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,https://justwomenssports.com/reads/megan-grant-softball-ucla-portland-cascade-ausl-home-run-record/,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,2026-06-12T19:46:52+00:00,49.0,Useful but not urgent.,Record or milestone. Recent under 72 hours. Strong secondary sport: Softball. Source quality 8/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,10,Save for Weekend,Save for weekend or filler slot,65,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,women's sports::arkansas'_sanu_jallow_sets_women's_800m_collegiate_record,,Daily news,Daily News,Women's Sports,Record / Milestone,NCAA.com,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,https://news.google.com/rss/articles/CBMixwFBVV95cUxPSUxSVW9NVXJqa19wYWlNWGhXb2xXb3FzVG1HcXRSeVluWmpMLTJzdUhNb3lYcWpHZWltcUMyRHdKSjFlMFlWamduYzBUb1pfeGxPU2ljUjF5d0wwaG1RTUpyNUdUcktOaFRnajNOdVlrRzhMeTFYU2FkWGJrc2ZvYzN5UktBVWxHTm1ZUHNUdWdjYmc2TzZ4VWhubWZ0ejVvV2w5WFQ1eVdvbFFzTFBOWWRqRmRlOW5RMy1ZaVVXVUVqR2F6c0I4?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews,2026-06-14T02:40:10+00:00,18.1,Useful but not urgent.,Record or milestone. Fresh under 24 hours. General women's sports fit. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
