rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Postgame Recap Template,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA,"What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,1,Hook,Vekic sweeps by Raducanu at Queen's Club to secure,The story you need to know.
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Postgame Recap Template,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA,"What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,2,Context,What happened,This is timely Tennis coverage with a result fans may want explained quickly.
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Postgame Recap Template,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA,"What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Tennis fans."
1,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA 500 title,Postgame Recap Template,Vekic sweeps by Raducanu at Queen's Club to secure first career WTA,"What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Tonight in the W 4-Slide Template,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Kelsey Plum’s Historic 43-Point Career Night Leads,The story you need to know.
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Tonight in the W 4-Slide Template,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Tonight in the W 4-Slide Template,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Tonight in the W 4-Slide Template,Kelsey Plum’s Historic 43-Point Career Night Leads Sparks Past Mercury,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Tonight in the W 4-Slide Template,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Sparks Win OT Thriller Behind Historic “Plumformance”,The story you need to know.
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Tonight in the W 4-Slide Template,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Tonight in the W 4-Slide Template,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
3,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game Recap,Tonight in the W 4-Slide Template,Sparks Win OT Thriller Behind Historic “Plumformance” – June 13 Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA",The story you need to know.
4,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
5,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,1,Hook,Georgia wins the 2026 DI women's outdoor track and,The story you need to know.
5,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,2,Context,What happened,This is timely Track & Field coverage with a result fans may want explained quickly.
5,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Track & Field fans."
5,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,4,CTA,Your take on this Track & Field story?,Follow Her Sports Daily for more.
