posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,199,1,Caitlin Clark Hits Game-Winning 3-Pointer to Push Fever Past Mystics,Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,199,2,A’ja Wilson Makes WNBA History in Aces vs. Storm Win,Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,164,3,Texas’s 2026 WCWS Finals Win Shatters NCAA Softball Viewership Records,Maybe Post,Softball,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post 3rd,Downgraded from Must Post because the daily Must Post cap was reached.
4,149,5,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Maybe Post,Golf / LPGA,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,147,6,"Hilary Knight will play for PWHL expansion Detroit via sign-and-trade with Las Vegas, AP source says",Maybe Post,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Post later today,"Strong candidate, but not mandatory."
6,119,8,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Save for Weekend,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
7,119,10,Michigan Women’s Basketball announces Big Ten home/away opponents,Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,114,7,"Sol Ruca Defeats Lyra Valkyria, Wins First WWE Women's IC Title Defense On Raw",Save for Weekend,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
9,113,9,Toronto Sceptres Pushing Through Expansion Process,Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
10,112,4,WNBA gameday discussion: What do you expect from Angel Reese in her return game against the Chicago Sky?,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
