league_id,league_name,team_name,source_priority,source_type,source_url,roster_url_if_available,player_profile_url_pattern_if_visible,source_domain,official_status,rights_or_usage_note,freshness_note,confidence,operator_verify_required,citation_url
wsl_england,Women's Super League,Arsenal Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/arsenal,https://www.wslfootball.com/clubs/arsenal/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Aston Villa Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/aston-villa,https://www.wslfootball.com/clubs/aston-villa/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Brighton & Hove Albion Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/brighton-hove-albion,https://www.wslfootball.com/clubs/brighton-hove-albion/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Chelsea Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/chelsea,https://www.wslfootball.com/clubs/chelsea/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Everton Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/everton,https://www.wslfootball.com/clubs/everton/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Leicester City Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/leicester-city,https://www.wslfootball.com/clubs/leicester-city/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Liverpool Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/liverpool,https://www.wslfootball.com/clubs/liverpool/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,London City Lionesses,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/london-city-lionesses,https://www.wslfootball.com/clubs/london-city-lionesses/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Manchester City Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/manchester-city,https://www.wslfootball.com/clubs/manchester-city/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
wsl_england,Women's Super League,Manchester United Women,P0_OFFICIAL_LEAGUE_TEAM,official_league_club_profile_and_roster,https://www.wslfootball.com/clubs/wsl/manchester-united,https://www.wslfootball.com/clubs/manchester-united/squad,profile_links_not_visible_in_parsed_squad; use WSL players index for player lookup,wslfootball.com,official_league,Review-only metadata candidate; use roster/profile text for identity cross-check only; no media reuse.,Official WSL clubs index listed this team; WSL player index showed active player database. Verify during summer transfer window.,high,no,https://www.wslfootball.com/clubs/index
