post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
3,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
4,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make if time today,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
7,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
9,Major League Volleyball Ends Year Three With Record Growth,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
10,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
