rank,headline,editorial_decision,caption_variant,caption
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,feed,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,carousel,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Must Post,story,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Verify First,feed,"Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Verify First,carousel,"Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Verify First,story,"Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,feed,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,carousel,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,story,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,feed,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
4,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,carousel,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
4,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,story,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
5,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,Maybe Post,feed,"GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,Maybe Post,carousel,"GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89,Maybe Post,story,"GAME RECAP: Record 3-Point Shooting by Chelsea Gray Helps Aces Douse Fire 105-89

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
6,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,feed,"Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
6,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,carousel,"Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
6,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,story,"Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,Major League Volleyball Ends Year Three With Record Growth,Save for Weekend,feed,"Major League Volleyball Ends Year Three With Record Growth

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Volleyball #NCAAVB"
7,Major League Volleyball Ends Year Three With Record Growth,Save for Weekend,carousel,"Major League Volleyball Ends Year Three With Record Growth

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Volleyball #NCAAVB"
7,Major League Volleyball Ends Year Three With Record Growth,Save for Weekend,story,"Major League Volleyball Ends Year Three With Record Growth

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Volleyball #NCAAVB"
8,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,feed,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
8,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,carousel,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
8,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,story,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
9,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,feed,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective

The business of women's sports is not emerging anymore. It is becoming big business.

Why it matters: This helps show the business momentum behind women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
9,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,carousel,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective

Women's sports are becoming impossible for the business world to ignore.

Why it matters: This helps show the business momentum behind women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
9,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,story,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective

Quick hit: This helps show the business momentum behind women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,feed,"Gotham FC announces first-ever ‘dedicated’ training facility

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,carousel,"Gotham FC announces first-ever ‘dedicated’ training facility

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,story,"Gotham FC announces first-ever ‘dedicated’ training facility

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
