rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,1,Hook,"Gauff wins third career WTA 1000 title, ends Pegula’s",The story you need to know.
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,2,Context,What happened,This is timely Tennis coverage with a result fans may want explained quickly.
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Tennis fans."
1,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Tonight in the W 4-Slide Template,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Caitlin Clark ties Tamika Catchings' Fever franchise,The story you need to know.
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Tonight in the W 4-Slide Template,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Tonight in the W 4-Slide Template,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest win,Tonight in the W 4-Slide Template,Caitlin Clark ties Tamika Catchings' Fever franchise mark in latest,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA",The story you need to know.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
