rank,headline,editorial_decision,caption_variant,caption
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Must Post,feed,"Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Must Post,carousel,"Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Must Post,story,"Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Must Post,feed,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Must Post,carousel,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Must Post,story,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,feed,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,carousel,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,story,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Verify First,feed,"Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Verify First,carousel,"Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Verify First,story,"Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Maybe Post,feed,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Maybe Post,carousel,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
