posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,199,1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,199,2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,162,3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Track & Field,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post 3rd,Downgraded from Must Post because the daily Must Post cap was reached.
4,161,5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Maybe Post,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,148,6,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,NWSL / Women's Soccer,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
6,128,10,UCLA Women’s Soccer Adds Five New Transfers to Roster,Save for Weekend,NWSL / Women's Soccer,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
7,126,8,PWHL expansion Phase 3 signing tracker: Every player who inked a deal,Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
8,124,9,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis",Save for Weekend,Tennis,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
9,117,7,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,Golf / LPGA,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
10,112,4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
