rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Tonight in the W 4-Slide Template,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Aces Vet Chelsea Gray’s Record-Tying Night Fuels,The story you need to know.
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Tonight in the W 4-Slide Template,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Tonight in the W 4-Slide Template,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Tonight in the W 4-Slide Template,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Tonight in the W 4-Slide Template,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make",The story you need to know.
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Tonight in the W 4-Slide Template,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Tonight in the W 4-Slide Template,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Tonight in the W 4-Slide Template,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's,The story you need to know.
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Track & Field story?,Follow Her Sports Daily for more.
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Tonight in the W 4-Slide Template,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA,The story you need to know.
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Tonight in the W 4-Slide Template,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Tonight in the W 4-Slide Template,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Tonight in the W 4-Slide Template,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Milestone Graphic Template,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,1,Hook,Former UCLA Softball Star Megan Grant Crushes Record,The story you need to know.
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Milestone Graphic Template,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Milestone Graphic Template,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,3,Angle,The angle,A milestone worth putting into context.
5,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Milestone Graphic Template,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,4,CTA,Your take on this Softball story?,Follow Her Sports Daily for more.
6,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,1,Hook,Gotham FC announces first-ever ‘dedicated’ training,The story you need to know.
6,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
6,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,3,Angle,The angle,A milestone worth putting into context.
6,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,4,CTA,Your take on this NWSL / Women's Soccer story?,Follow Her Sports Daily for more.
7,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Growth Carousel Template,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,This helps show the business momentum behind women's sports.,More LPGA coverage daily,1,Hook,U.S. Women's Open viewership soars for Nelly Korda's,The story you need to know.
7,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Growth Carousel Template,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,This helps show the business momentum behind women's sports.,More LPGA coverage daily,2,Context,The number to know,This helps show the business momentum behind women's sports.
