post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,Aces Vet Chelsea Gray’s Record-Tying Night Fuels Commissioner’s Cup Win,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
2,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
3,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Downgraded from Must Post because the daily Must Post cap was reached.
4,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,UCLA Women’s Soccer Adds Five New Transfers to Roster,Save for Weekend,Roster News,Roster Update Card,single 4:5 feed card,Save for weekend,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",Useful but not urgent.
7,PWHL expansion Phase 3 signing tracker: Every player who inked a deal,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.",Useful but not urgent.
8,"Vekic wins 12th edition of rivalry with Pliskova, moves into Queen's semis",Save for Weekend,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Save for weekend,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.",Useful but not urgent.
9,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
10,Angel Reese Urges Fans to Vote for Ahead of 2026 WNBA All-Star Game,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
