post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,Breaking News: Mirra Andreeva Wins Women's French Open Final Stream of Tennis,Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post second,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Women's Sports fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
3,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
4,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,UCLA Women’s Basketball Adds Second Freshman to Roster,Save for Weekend,Roster News,Roster Update Card,single 4:5 feed card,Save for weekend,Post during daytime engagement window,A future-star angle with a clear roster-building hook.,"Use a roster/recruiting graphic with the player, school/team, and why it matters.",Useful but not urgent.
6,“Lot of Missed Layups”: Dallas Teammate Voices Thoughts After Paige Bueckers Ties Her Franchise Assist Record,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
7,Nebraska Softball Sets Record for Most-Watched WCWS Opening Thursday Broadcast,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
8,Full match replay: Undefeated clay streak yields a milestone for Marta Kostyuk,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
9,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
10,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
