posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,195,1,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,152,4,Breaking News: Mirra Andreeva Wins Women's French Open Final Stream of Tennis,Maybe Post,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post 2nd,"Strong candidate, but not mandatory."
3,152,6,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post 3rd,"Strong candidate, but not mandatory."
4,147,5,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing,Maybe Post,PWHL / Women's Hockey,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,128,8,UCLA Women’s Basketball Adds Second Freshman to Roster,Save for Weekend,NCAA Women's Basketball,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
6,117,2,“Lot of Missed Layups”: Dallas Teammate Voices Thoughts After Paige Bueckers Ties Her Franchise Assist Record,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
7,117,9,Nebraska Softball Sets Record for Most-Watched WCWS Opening Thursday Broadcast,Save for Weekend,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,113,7,Full match replay: Undefeated clay streak yields a milestone for Marta Kostyuk,Save for Weekend,Tennis,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
9,112,3,‘This Fall From Grace Needs to Be Studied’ — WNBA World Rips Caitlin Clark for Ignoring Teammate During Fever-Liberty,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
10,110,10,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Tennis,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
