posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,197,1,Texas wins the 2026 NCAA DI softball championship,Must Post,Softball,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,196,2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,163,3,Kelsey Mitchell scores 25 as Fever begin Commissioner's Cup title defense with 83-71 win over Dream,Maybe Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post within 2 hours if still fresh,Post 3rd,Downgraded from Must Post because the daily Must Post cap was reached.
4,162,5,Lynx's Miles breaks Clark's WNBA rookie record with 8 3-pointers,Maybe Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,159,4,Saint Leo wins 2026 NCAA DII softball championship,Maybe Post,Softball,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post later today,"Strong candidate, but not mandatory."
6,153,6,PWHL HAMILTON ADDS BRIANNE JENNER IN HISTORIC FIRST SIGNING,Maybe Post,PWHL / Women's Hockey,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Post later today,"Strong candidate, but not mandatory."
7,128,7,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,Save for Weekend,NCAA Women's Basketball,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
8,125,9,Serena Williams Adds 2026 Berlin Tennis Open to WTA Comeback Tour,Save for Weekend,Tennis,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
9,122,8,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Tennis,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
10,118,10,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Save for Weekend,Golf / LPGA,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
