script_version,rank,editorial_decision,recommended_timing,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,time_sensitive,verification_needed,sensitive,duplicate_status,related_story_count,cluster_rank,cluster_id,primary_entity,content_lane,content_bucket,sport,story_type,source,headline,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,published,age_hours,decision_reason,score_reason,notes
v11_final,1,Must Post,Post ASAP,81,9,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,10,1,wnba::minnesota lynx,Minnesota Lynx,Game coverage,Tonight / Game Coverage,WNBA,Game Recap / Result,Just Women's Sports,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,https://justwomenssports.com/reads/minnesota-lynx-portland-fire-wnba-commissioners-cup-scores/,Breaking graphic + carousel,Here is the quick version of what happened and why it matters.,Quick recap: Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for WNBA fans.",This is timely WNBA coverage with a result fans may want explained quickly.,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers Here is the quick breakdown and why it matters.,"Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-16T16:25:28+00:00,6.5,"High-score, timely, verified hard-news story.",Championship or major result. Fresh under 12 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,2,Must Post,Post ASAP,77,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,5,1,wnba::aja_wilson,A'Ja Wilson,Star-driven engagement,Star Watch,WNBA,Breaking / Transaction,The Athletic,The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,https://sports.yahoo.com/articles/liberty-did-first-plus-olivia-183107755.html,Breaking graphic + carousel,The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,Slide 1: headline | Slide 2: context | Slide 3: why it matters | Slide 4: audience question,Quick hit: The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,"This is a useful update, but it should be weighed against stronger stories.",The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows What should we cover next?,"Use a simple WNBA news card with headline, context, and one engagement question.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-16T18:31:07+00:00,4.4,"High-score, timely, verified hard-news story.","Confirmed breaking or transaction story. Fresh under 6 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,3,Verify First,Verify first,77,8,6,Other,Yes,Passed: clear women's sports signal.,No,Yes,No,Primary,1,1,wnba::caitlin_clark_records,Caitlin Clark,Star-driven engagement,Star Watch,WNBA,Record / Milestone,Pro Football Network,"Lynx Phenom Olivia Miles Surpasses Caitlin Clark, Ties Paige Bueckers to Rewrite WNBA Record Books",https://sports.yahoo.com/articles/lynx-phenom-olivia-miles-surpasses-140017201.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Lynx Phenom Olivia Miles Surpasses Caitlin Clark, Ties Paige Bueckers to Rewrite WNBA Record Books",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Lynx Phenom Olivia Miles Surpasses Caitlin Clark, Ties Paige Bueckers to Rewrite WNBA Record Books What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,2026-06-16T14:00:17+00:00,8.9,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,4,Maybe Post,Use when convenient,76,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,40,1,pwhl / women's hockey::pwhl,Pwhl,Daily news,Daily News,PWHL / Women's Hockey,Record / Milestone,Just Women's Sports,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,https://justwomenssports.com/reads/kim-weiss-pwhl-expansion-las-vegas-coach-pwhl-draft-2026/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,2026-06-16T19:37:45+00:00,3.3,Downgraded from Must Post because the daily Must Post cap was reached.,Record or milestone. Fresh under 12 hours. Core brand sport: PWHL / Women's Hockey. Source quality 8/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,5,Maybe Post,Use when convenient,71,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,3,1,track & field::sha'carri richardson,Sha'Carri Richardson,Star-driven engagement,Star Watch,Track & Field,Record / Milestone,NCAA.com,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,https://news.google.com/rss/articles/CBMi0AFBVV95cUxObnBtV1YxcUxLd1F0dlhTUm90TERMcDF4VVdFWndwcE5KU1hlWnEzbTI1SndxdUxpX2hHNHk3b3otZ2Vvb1ZuTHJoX1lXaXZzb3l4OWE3TkxTcjh5T2xTbDdma3BDRk0ycGF1dG42cmlLckRJVnVST2pqYWRhSm5uOERMMVhhQThqMnpubkhQc3hVZngzRFlZVTN3aXgtX0d0bG9GMTMyMEVRSlZfR0lvZFF1X2lLeG5PdWM3SEdmOTNXbEFzUTQtSmx3OHN2VUY0?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #TrackAndField,2026-06-12T15:14:55+00:00,103.7,"Strong candidate, but not mandatory.","Record or milestone. Still usable this week. Strong secondary sport: Track & Field. Source quality 10/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",
v11_final,6,Maybe Post,Post within 2 hours if still fresh,69,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,tennis::gauff_wins_career_wta_1000_title_ends_pegula's,,Game coverage,Tonight / Game Coverage,Tennis,Game Recap / Result,WTA Tennis,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",https://news.google.com/rss/articles/CBMitwFBVV95cUxPbXUtY0FsX1VUd3JSQUFoTV9oQm1UX3RjMFdwREVZaVdsb2lVUmZWSmc1VmMwVm5XMU5MU3FWbm5xU2lEbDYzN09STDJyYmdzejhPR2cySW9GcHJqMF80QklwcHVRUXltUVBEZUFlem9LR1kxYmVFZWRvS2JjTHA3SnhQTlcyMWtCbnNNUW1qYmNmVEtheG5Ma0VpbndhZlQxOHJRdS1DQ3ppSy12OElNeTV2bE9BODA?oc=5,Story post,Here is the quick version of what happened and why it matters.,"Quick recap: Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Slide 1: result | Slide 2: top performer | Slide 3: turning point | Slide 4: what is next,"What happened, who stood out, and why it matters for Tennis fans.",This is timely Tennis coverage with a result fans may want explained quickly.,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan Here is the quick breakdown and why it matters.","Use a quick recap carousel with final result, top performer, and next game.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-15T13:32:28+00:00,33.4,"Strong candidate, but not mandatory.",Championship or major result. Aging under 48 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,7,Maybe Post,Use when convenient,69,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,tennis::mercedes_benz_wta_launch_ever_star_shaped_court,,Daily news,Daily News,Tennis,Record / Milestone,WTA Tennis,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",https://news.google.com/rss/articles/CBMitAFBVV95cUxQWGJjWFAyODY2S2hhWUtCMWdGRUxfWlI1TDdtTEtiWlBqQllYUUlycEZQX1Y4VXI4V0dQLThHRFZjZFBRcEFrM3FkYWdTcXg2OWdteTRLeFZHSnV5SG11NFEyNzdxXzFHZ0txRDJpTGNzZUVuTHV0aFJNRWNxREJhZmF2alA5TXlVb0tKd0ZxLUJzY2JPRzBmdXhCeXZfcVJEMlVRSHJvMDhNOEVmdVJXQWVTZ0Q?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis,2026-06-15T11:29:44+00:00,35.4,"Strong candidate, but not mandatory.",Record or milestone. Recent under 72 hours. Strong secondary sport: Tennis. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,8,Save for Weekend,Save for weekend or filler slot,64,7,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Yes,No,No,Primary,1,1,ncaa women's basketball::ole_miss_mississippi_state_women's_basketball_sec_opponents,,College spotlight,College Spotlight,NCAA Women's Basketball,Breaking / Transaction,Yahoo Sports,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",https://news.google.com/rss/articles/CBMiigFBVV95cUxOS2pzNDhacVMwa3RUbFdMSEo3dFdQS1h2Wk9wTndTSnhkQzR5RzRCV3lTbGZZNHY5eFhPZmg3M1oxNUVKZkx4bjRSdkRQTDNoWHRjTmF6RWRRUlQzUFhfdmxETTE1b3BYVHU1ZU5BZVkyQ0xCNG5hNklZTjhFRG5WbXB1ZjVzZDVTd2c?oc=5,Story post,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27","Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Slide 1: headline | Slide 2: context | Slide 3: why it matters | Slide 4: audience question,"Quick hit: Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27","This is a useful update, but it should be weighed against stronger stories.","Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27 What should we cover next?","Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",#WomensSports #HerSportsDaily #SportsNews #NCAAWBB #WomensBasketball,2026-06-16T15:51:07+00:00,7.1,Useful but not urgent.,Confirmed breaking or transaction story. Fresh under 12 hours. Core brand sport: NCAA Women's Basketball. Source quality 9/10. Engagement: normal interest. Penalties: no major penalties.,
v11_final,9,Save for Weekend,Save for weekend or filler slot,64,7,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,No,No,No,Primary,5,1,nwsl / women's soccer::gotham fc,Gotham Fc,Daily news,Daily News,NWSL / Women's Soccer,Record / Milestone,Equalizer Soccer,Gotham FC announces first-ever ‘dedicated’ training facility,https://news.google.com/rss/articles/CBMiogFBVV95cUxPRTAyUG93UzNGVDZWWFVzcmhFUXBKQ3NhZF9aQUJYNHB0cklZQ2hvVzdnSGZweFR1Y1BWSFFQNEF5Qk1abHZZNDBZMDdUZGpTbVF6TVMyS1c3d0ZqSWFMOWktY0p6ajAwem5FQmNQUGphbHJtNDl0MmNVZ0tiS2J1WHBmQ1RWRnUwODN3WVc1NW9lWi1zMFJLYkhaQXktNV9QdVE?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Gotham FC announces first-ever ‘dedicated’ training facility,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Gotham FC announces first-ever ‘dedicated’ training facility What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer,2026-06-10T18:38:41+00:00,148.3,Useful but not urgent.,Record or milestone. Still usable this week. Core brand sport: NWSL / Women's Soccer. Source quality 8/10. Engagement: high-interest keyword. Penalties: no major penalties.,
v11_final,10,Save for Weekend,Save for weekend or filler slot,63,7,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,No,No,No,Primary,1,1,golf / lpga::juli_inkster_becomes_oldest_make_cut_lpga_tour,,Daily news,Daily News,Golf / LPGA,Record / Milestone,LPGA,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,https://news.google.com/rss/articles/CBMivgFBVV95cUxOSUxCNDFjSXlQdW5ySE1MTURQeHJGSkwtaU52YWNQeGQ5R0I3eGFyQWVhV3ptWjVJNkxQQ19nODUzd0tHNzZJZlF0cFF4UGhSMTN4RlNjU25UTm1iN0ptY3hEV2RBbm9mVm0yczdnZ2JsNDc0VVlSSHFlSy1EZVdralluSEUwQk1wUGNtWGsxOS1tX1h2WnlBdVFUVy1WMFRmbjdRSllUVkVGVUZxMHROZlpxOEpsVkhlSEZ3N2RB?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf,2026-06-13T18:46:04+00:00,76.2,Useful but not urgent.,Record or milestone. Still usable this week. Strong secondary sport: Golf / LPGA. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,
