post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,Must Post,Breaking News,Breaking News Card,single 4:5 feed card,Make and post second,Post ASAP,Quick hit: The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,"Use a simple WNBA news card with headline, context, and one engagement question.","High-score, timely, verified hard-news story."
3,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Downgraded from Must Post because the daily Must Post cap was reached.
4,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
6,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
7,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,"Quick hit: Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27","Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
10,"Lynx Phenom Olivia Miles Surpasses Caitlin Clark, Ties Paige Bueckers to Rewrite WNBA Record Books",Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
