posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,196,1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,195,2,The Liberty did it first. Plus: Olivia Miles and A’ja Wilson trade blows,Must Post,WNBA,Breaking / Transaction,Breaking News,Breaking News Card Template,single card + carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,161,4,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Maybe Post,PWHL / Women's Hockey,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post 3rd,Downgraded from Must Post because the daily Must Post cap was reached.
4,146,5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Track & Field,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,144,6,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,Tennis,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post later today,"Strong candidate, but not mandatory."
6,144,7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Tennis,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
7,126,8,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,119,9,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,NWSL / Women's Soccer,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
9,113,10,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,Golf / LPGA,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
10,112,3,"Lynx Phenom Olivia Miles Surpasses Caitlin Clark, Ties Paige Bueckers to Rewrite WNBA Record Books",Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
