posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,197,1,Texas wins second straight Women's College World Series title | FINAL OUT,Must Post,Softball,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,184,2,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,Golf / LPGA,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,168,5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Use when convenient,Post 3rd,"Strong candidate, but not mandatory."
4,163,6,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Maybe Post,WNBA,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Post later today,"Strong candidate, but not mandatory."
5,162,3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,Tennis,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,Downgraded from Must Post because the daily Must Post cap was reached.
6,132,7,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27",Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
7,132,8,"Big Ten announces home, road matchups for Wisconsin women's basketball",Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,120,9,Toronto Sceptres Pushing Through Expansion Process,Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
9,115,4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
10,115,10,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in PWHL expansion team moves",Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
