rank,headline,editorial_decision,caption_variant,caption
1,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,feed,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,carousel,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,story,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026",Must Post,feed,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026",Must Post,carousel,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026",Must Post,story,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night",Verify First,feed,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night",Verify First,carousel,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night",Verify First,story,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,feed,"Gotham FC announces first-ever ‘dedicated’ training facility

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
4,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,carousel,"Gotham FC announces first-ever ‘dedicated’ training facility

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
4,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,story,"Gotham FC announces first-ever ‘dedicated’ training facility

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,feed,"U.S. Women's Open viewership soars for Nelly Korda's win at Riviera

The business of women's sports is not emerging anymore. It is becoming big business.

Why it matters: This helps show the business momentum behind women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
5,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,carousel,"U.S. Women's Open viewership soars for Nelly Korda's win at Riviera

Women's sports are becoming impossible for the business world to ignore.

Why it matters: This helps show the business momentum behind women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
5,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,story,"U.S. Women's Open viewership soars for Nelly Korda's win at Riviera

Quick hit: This helps show the business momentum behind women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,Save for Weekend,feed,"PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,Save for Weekend,carousel,"PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,Save for Weekend,story,"PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,"Berlin Open 411: Dates, draws, prize money and everything to know",Save for Weekend,feed,"Berlin Open 411: Dates, draws, prize money and everything to know

The business of women's sports is not emerging anymore. It is becoming big business.

Why it matters: This helps show the business momentum behind women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
7,"Berlin Open 411: Dates, draws, prize money and everything to know",Save for Weekend,carousel,"Berlin Open 411: Dates, draws, prize money and everything to know

Women's sports are becoming impossible for the business world to ignore.

Why it matters: This helps show the business momentum behind women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
7,"Berlin Open 411: Dates, draws, prize money and everything to know",Save for Weekend,story,"Berlin Open 411: Dates, draws, prize money and everything to know

Quick hit: This helps show the business momentum behind women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
8,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,Save for Weekend,feed,"England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs

The business of women's sports is not emerging anymore. It is becoming big business.

Why it matters: This helps show the business momentum behind women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
8,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,Save for Weekend,carousel,"England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs

Women's sports are becoming impossible for the business world to ignore.

Why it matters: This helps show the business momentum behind women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
