posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,196,1,"A'ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,193,2,"Chicago Sky vs. Indiana Fever - Final Score - June 11, 2026",Must Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,148,4,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,NWSL / Women's Soccer,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post 3rd,"Strong candidate, but not mandatory."
4,119,10,"Iowa State women's basketball, home-and-home league opponents announced",Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
5,118,8,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,Save for Weekend,NWSL / Women's Soccer,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
6,117,5,U.S. Women's Open viewership soars for Nelly Korda's win at Riviera,Save for Weekend,Golf / LPGA,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
7,117,7,"Berlin Open 411: Dates, draws, prize money and everything to know",Save for Weekend,Tennis,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
8,116,6,PWHL COMPLETES PHASE 2 OF 2026 EXPANSION PLAYER DISTRIBUTION PROCESS WITH EXPANSION TEAM FOUNDATIONAL SIGNINGS,Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
9,115,3,"“Did Everything Wrong”: WNBA Analyst Exposes Fever Teammate’s Costly Blunders on Caitlin Clark, Aliyah Boston’s Historic Night",Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
10,113,9,"After Phase 2 losses, who will the Montréal Victoire protect in Phase 3 of expansion?",Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
