rank,headline,sport,story_type,source,link,context_confidence,context_source_status,verified_context_notes,story_summary,key_fact_1,key_fact_2,key_fact_3,key_fact_4,winner,loser,final_score,matchup,game_time,tv_network,key_player_1,key_player_1_statline,key_player_2,key_player_2_statline,watch_angle,round_or_event,top_performer_1,top_performer_1_statline,top_performer_2,top_performer_2_statline,milestone_text,historical_context,key_number,number_context,business_impact,main_takeaway,next_game_or_implication,manual_review_flag,supplemental_search_queries,supplemental_source_count,supplemental_sources
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,WNBA,Record / Milestone,Just Women's Sports,https://justwomenssports.com/reads/dream-vs-sky-angel-reese-double-double-atlanta-dream-chicago-sky-wnba-commissioners-cup-score/,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""Angel Reese Posts Historic Double-Double in Dream vs Sky Victory"" record stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory exact record | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory milestone stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory WNBA records stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Just Women's Sports Supplemental source context: iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 || iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 iNFOnews.ca || ESPN (Strong): Sky's Angel Reese second youngest to record triple-double","Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Angel Reese dominated in her return to Chicago, posting 17 points and 17 rebounds to propel the Atlanta Dream past the Chicago Sky.","Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Angel Reese dominated in her return to Chicago, posting 17 points and 17 rebounds to propel the Atlanta Dream past the Chicago Sky.",Reese led the way with 17 points and 17 rebounds in her first regular-season game against the team that drafted her in 2024.,The double-double marked Reese's 57th in 75 career games.,"Naz Hillmon scored a season-high 16 points on 50% shooting, including three 3-pointers.",,,82-75,,,,,,,,,,,,,,17 points,Reese led the way with 17 points and 17 rebounds in her first regular-season game against the team that drafted her in 2024.,17 points,"Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Angel Reese dominated in her return to Chicago, posting 17 points and 17 rebounds to propel the Atlanta Dream past the Chicago Sky.",,Reese led the way with 17 points and 17 rebounds in her first regular-season game against the team that drafted her in 2024.,,No,"""Angel Reese Posts Historic Double-Double in Dream vs Sky Victory"" record stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory exact record | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory milestone stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory WNBA records stats | Angel Reese Posts Historic Double-Double in Dream vs Sky Victory Just Women's Sports",5,"iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 || iNFOnews.ca (Other): Angel Reese secures 57th career double-double in return to Chicago, leads the Dream past Sky 82-75 iNFOnews.ca || ESPN (Strong): Sky's Angel Reese second youngest to record triple-double || ESPN (Strong): Sky's Angel Reese second youngest to record triple-double ESPN || MSN (Other): Angel Reese nears double-double milestone in return to Chicago"
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",WNBA,Record / Milestone,Hawkeyes Wire,https://sports.yahoo.com/articles/caitlin-clark-fever-draw-another-003058717.html,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""Caitlin Clark, Fever draw another near-milestone audience vs. Liberty"" record stats | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty exact record | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty milestone stats | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty WNBA records stats | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty Hawkeyes Wire Supplemental source context: Yahoo Sports (Strong): Caitlin Clark, Fever draw another near-milestone audience vs. Liberty || Yahoo Sports (Strong): Caitlin Clark, Fever draw another near-milestone audience vs. || Hawkeyes Wire (Other): How many points did Caitlin Clark score in Fever preseason opener?","Caitlin Clark, Fever draw another near-milestone audience vs.","Caitlin Clark, Fever draw another near-milestone audience vs.","Follow Zach on X: @zach_hiney This article originally appeared on Hawkeyes Wire: Caitlin Clark, Fever draw another near-milestone audience vs.","All three of those games involved Clark, showcasing her impact on the sports ratings year after year.",Two teams with championship aspirations and superstars everywhere are usually a recipe for ratings success.,,,,,,,,,,,,,,,,,"Caitlin Clark, Fever draw another near-milestone audience vs.","Follow Zach on X: @zach_hiney This article originally appeared on Hawkeyes Wire: Caitlin Clark, Fever draw another near-milestone audience vs.",,,,"Follow Zach on X: @zach_hiney This article originally appeared on Hawkeyes Wire: Caitlin Clark, Fever draw another near-milestone audience vs.",,No,"""Caitlin Clark, Fever draw another near-milestone audience vs. Liberty"" record stats | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty exact record | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty milestone stats | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty WNBA records stats | Caitlin Clark, Fever draw another near-milestone audience vs. Liberty Hawkeyes Wire",5,"Yahoo Sports (Strong): Caitlin Clark, Fever draw another near-milestone audience vs. Liberty || Yahoo Sports (Strong): Caitlin Clark, Fever draw another near-milestone audience vs. || Hawkeyes Wire (Other): How many points did Caitlin Clark score in Fever preseason opener? || Hawkeyes Wire (Other): Caitlin Clark breaks down game-winning 3-pointer vs. Mystics || Hawkeyes Wire (Other): Caitlin Clark breaks down game-winning 3-pointer vs."
3,"A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",WNBA,League Expansion,Just Women's Sports,https://justwomenssports.com/reads/time-100-most-influential-people-sports-list-womens-athletes-dawn-staley-aja-wilson-2026/,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List"" | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List amount number details | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List purse revenue viewership attendance investment | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List Just Women's Sports Supplemental source context: On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list || On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list On3 || Time Magazine (Other): Dawn Staley: TIME100 Most Influential People in Sports 2026","TIME took special interest in the Winter Olympics , after the stars of Milan Cortina broke into the public consciousness this past February.","TIME took special interest in the Winter Olympics , after the stars of Milan Cortina broke into the public consciousness this past February.","US and Canada hockey rivals Hilary Knight and Marie-Philip Poulin headlined the selection, while skiers Lindsey Vonn, Eileen Gu, and Mikaela Shiffrin, and Paralympian Oksana Masters joined Liu in the spotlight.","Victoria Mboko Queen's Club Injury Threatens Serena Williams Comeback Run Serena Williams, Victoria Mboko Draw No.","3 Seeds for Queens Club Doubles Venus Williams, Alexandra Eala Reportedly Team Up for 2026 Bad Homburg Doubles Bid",,,,,,,,,,,,,,,,,,,,,"US and Canada hockey rivals Hilary Knight and Marie-Philip Poulin headlined the selection, while skiers Lindsey Vonn, Eileen Gu, and Mikaela Shiffrin, and Paralympian Oksana Masters joined Liu in the spotlight.","US and Canada hockey rivals Hilary Knight and Marie-Philip Poulin headlined the selection, while skiers Lindsey Vonn, Eileen Gu, and Mikaela Shiffrin, and Paralympian Oksana Masters joined Liu in the spotlight.",,No,"""A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List"" | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List amount number details | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List purse revenue viewership attendance investment | A'ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List Just Women's Sports",5,"On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list || On3 (Other): Dawn Staley, A'ja Wilson earn spot on inaugural TIME100 Sports list On3 || Time Magazine (Other): Dawn Staley: TIME100 Most Influential People in Sports 2026 || Time Magazine (Other): Dawn Staley: TIME100 Most Influential People in Sports 2026 Time Magazine || Time Magazine (Other): The 100 Most Influential People in Sports 2026 Time Magazine"
4,Gotham FC announces first-ever ‘dedicated' training facility,NWSL / Women's Soccer,Record / Milestone,Equalizer Soccer,https://news.google.com/rss/articles/CBMiogFBVV95cUxPRTAyUG93UzNGVDZWWFVzcmhFUXBKQ3NhZF9aQUJYNHB0cklZQ2hvVzdnSGZweFR1Y1BWSFFQNEF5Qk1abHZZNDBZMDdUZGpTbVF6TVMyS1c3d0ZqSWFMOWktY0p6ajAwem5FQmNQUGphbHJtNDl0MmNVZ0tiS2J1WHBmQ1RWRnUwODN3WVc1NW9lWi1zMFJLYkhaQXktNV9QdVE?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""Gotham FC announces first-ever ‘dedicated' training facility"" record stats | Gotham FC announces first-ever ‘dedicated' training facility exact record | Gotham FC announces first-ever ‘dedicated' training facility milestone stats | Gotham FC announces first-ever ‘dedicated' training facility Equalizer Soccer Supplemental source context: Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' || Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports || All For XI (Other): Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win Verify exact stats, scores, records, player details, and jersey numbers before final design.","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge'","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge'","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports",Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win,Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win All For XI,,,2-0,,,,,,,,,,,,,,"Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge'","Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports",,,,"Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports",,Yes,"""Gotham FC announces first-ever ‘dedicated' training facility"" record stats | Gotham FC announces first-ever ‘dedicated' training facility exact record | Gotham FC announces first-ever ‘dedicated' training facility milestone stats | Gotham FC announces first-ever ‘dedicated' training facility Equalizer Soccer",5,"Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' || Yahoo Sports (Strong): Gotham FC to construct $35 million training facility, a first for the club: ‘This is absolutely huge' Yahoo Sports || All For XI (Other): Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win || All For XI (Other): Club History: Denver Summit FC takes down defending NWSL Champions NJ/NY Gotham 2-0 for their first ever win All For XI || Yahoo Sports (Strong): Gotham FC announces dedicated training facility"
5,Laila Edwards 2026 Draft Profile,PWHL / Women's Hockey,Breaking / Transaction,Professional Women's Hockey League (PWHL),https://news.google.com/rss/articles/CBMigwFBVV95cUxPQ1ZCa2NRSmtOdXJLVVk0X0ZnY1lLdERKUElTVldNOHNRai1nbE9jODlLVGtENG51MGt6R0tzNWV1YlA3N25vbDZKWExMalBKLWdyVTJyWnVzbXJZUExWNVNOM1R0OE4yTXM1eUo5VUdaVkpQOWtuSERZcEs5dzhvT3JDSQ?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""Laila Edwards 2026 Draft Profile"" | Laila Edwards 2026 Draft Profile details | Laila Edwards 2026 Draft Profile Professional Women's Hockey League (PWHL) Supplemental source context: Professional Women's Hockey League (PWHL) (Other): Laila Edwards 2026 Draft Profile || Professional Women's Hockey League (PWHL) (Other): Laila Edwards 2026 Draft Profile Professional Women's Hockey League (PWHL) || Yardbarker (Other): Laila Edwards: 2026 PWHL Draft Prospect Profile Verify exact stats, scores, records, player details, and jersey numbers before final design.",Laila Edwards 2026 Draft Profile,Laila Edwards 2026 Draft Profile,Laila Edwards 2026 Draft Profile Professional Women's Hockey League (PWHL),Laila Edwards: 2026 PWHL Draft Prospect Profile,Laila Edwards: 2026 PWHL Draft Prospect Profile Yardbarker,,,,,,,,,,,,,,,,,,,,,,Laila Edwards 2026 Draft Profile Professional Women's Hockey League (PWHL),,Yes,"""Laila Edwards 2026 Draft Profile"" | Laila Edwards 2026 Draft Profile details | Laila Edwards 2026 Draft Profile Professional Women's Hockey League (PWHL)",5,"Professional Women's Hockey League (PWHL) (Other): Laila Edwards 2026 Draft Profile || Professional Women's Hockey League (PWHL) (Other): Laila Edwards 2026 Draft Profile Professional Women's Hockey League (PWHL) || Yardbarker (Other): Laila Edwards: 2026 PWHL Draft Prospect Profile || Yardbarker (Other): Laila Edwards: 2026 PWHL Draft Prospect Profile Yardbarker || Just Women's Sports (Strong): Team USA, Wisconsin Hockey Star Laila Edwards Targets the 2026 PHWL Draft"
6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Softball,League Expansion,Just Women's Sports,https://justwomenssports.com/reads/ausl-opening-day-2026-montana-fouts-softball-schedule-scores/,High,direct_article_plus_supplemental_search,"Fetched direct article text. Supplemental searches used: ""Grand Slams, Lights-Out Pitching Define AUSL Opening Day"" | Grand Slams, Lights-Out Pitching Define AUSL Opening Day amount number details | Grand Slams, Lights-Out Pitching Define AUSL Opening Day purse revenue viewership attendance investment | Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports Supplemental source context: Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day || Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports","Grand Slams, Lights-Out Pitching Define AUSL Opening Day AUSL kicked off 2026 with an Opening Day triple-header, as Maya Brady scored a grand slam and Montana Fouts pitched a complete game.","Grand Slams, Lights-Out Pitching Define AUSL Opening Day AUSL kicked off 2026 with an Opening Day triple-header, as Maya Brady scored a grand slam and Montana Fouts pitched a complete game.","The AUSL championship rematch saw the Talons control the game early, coming away with a 5-2 win.","AUSL kicked off 2026 with an Opening Day triple-header, as Maya Brady scored a grand slam and Montana Fouts pitched a complete game.",Athletes Unlimited Softball (AUSL) opened its second season with a pro softball triple-header that set the tone for 2026.,,,5-2,,,,,,,,,,,,,,,,,,"The AUSL championship rematch saw the Talons control the game early, coming away with a 5-2 win.","The AUSL championship rematch saw the Talons control the game early, coming away with a 5-2 win.",,No,"""Grand Slams, Lights-Out Pitching Define AUSL Opening Day"" | Grand Slams, Lights-Out Pitching Define AUSL Opening Day amount number details | Grand Slams, Lights-Out Pitching Define AUSL Opening Day purse revenue viewership attendance investment | Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports",2,"Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day || Just Women's Sports (Strong): Grand Slams, Lights-Out Pitching Define AUSL Opening Day Just Women's Sports"
7,"Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game",Softball,Record / Milestone,Togethxr,https://news.google.com/rss/articles/CBMifEFVX3lxTE5SOHI0eXB5eGNXajNwX0IteXBGN01RSXJMZS1hTzlqZm5HQ2RKVUtHbUdJaEFEdXFDbzZQVGZfQXJZWlVaM3FiZkVfRlk4NnFBSTRVRU5OMlprS0dxcFFrVWtaTGZIajRIWE1OR2FmVTF2N2JRWjFoMGZ0SzA?oc=5,Medium,fallback_summary,"Skipped Google News aggregator URL. Supplemental searches used: ""Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game"" record stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game exact record | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game milestone stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr Verify exact stats, scores, records, player details, and jersey numbers before final design.","Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr","Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr",,,,,,,,,,,,,,,,,,,,"Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr",Milestone is headline-confirmed. Verify exact record details before adding supporting stats.,,,,Milestone is headline-confirmed. Verify exact record details before adding supporting stats.,,Yes,"""Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game"" record stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game exact record | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game milestone stats | Athletes Unlimited and TOGETHXR Debut ""Everyone Watches Women's Softball"" Amid Historic Growth for the Game Togethxr",0,
8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,NCAA Women's Basketball,Recruiting / Roster News,Yahoo Sports,https://news.google.com/rss/articles/CBMijgFBVV95cUxNa29KQVlsXy1pRjVleWNaZXpId0JXd21QOHpVc3R3ZERsOV9uUGZuSWdTSTJiWDU2a1pBY0ttdFllS3Y1b3IzVHFJMlNISXpuY1k4RFBtd0VpYktOaUgzZGNibVQzOXhpMHM2dEozTldoaEsxaWVvWkxjb2NibUxpbnRVcU9oS1dqWWtndUlR?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""Iowa women's basketball reoffers 2028 4-star as recruitment reopens"" | Iowa women's basketball reoffers 2028 4-star as recruitment reopens details | Iowa women's basketball reoffers 2028 4-star as recruitment reopens Yahoo Sports Supplemental source context: Yahoo Sports (Strong): Iowa women's basketball reoffers 2028 4-star as recruitment reopens || Yahoo Sports (Strong): Iowa women's basketball reoffers 2028 4-star as recruitment reopens Yahoo Sports || Hawkeyes Wire (Other): Iowa women's basketball reoffers 2028 4-star as recruitment reopens Hawkeyes Wire Verify exact stats, scores, records, player details, and jersey numbers before final design.",Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Iowa women's basketball reoffers 2028 4-star as recruitment reopens Yahoo Sports,Iowa women's basketball reoffers 2028 4-star as recruitment reopens Hawkeyes Wire,,,,,,,,,,,,,,,,,,,,,,,Iowa women's basketball reoffers 2028 4-star as recruitment reopens Yahoo Sports,,Yes,"""Iowa women's basketball reoffers 2028 4-star as recruitment reopens"" | Iowa women's basketball reoffers 2028 4-star as recruitment reopens details | Iowa women's basketball reoffers 2028 4-star as recruitment reopens Yahoo Sports",3,Yahoo Sports (Strong): Iowa women's basketball reoffers 2028 4-star as recruitment reopens || Yahoo Sports (Strong): Iowa women's basketball reoffers 2028 4-star as recruitment reopens Yahoo Sports || Hawkeyes Wire (Other): Iowa women's basketball reoffers 2028 4-star as recruitment reopens Hawkeyes Wire
9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Women's Sports,Game Recap / Result,Yahoo Sports,https://news.google.com/rss/articles/CBMihAFBVV95cUxNbVJ6VnF5QjBaLVdYeGU0cGZ4emk5SG11cjhybXRXN2VmV0tfcTAzN05Na2ltNndNUWlHMkh5MjZ3S25kVXpxbDhNXzNDTkVXWTZaUnlna3RFYzNwNHBJQVRvNEhNQk1uOVA1Z0dmMFE2RDhmbFhwN2Y1VFRKbVV4eFNkYk8?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title"" score | Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title final score | Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title box score | Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Yahoo Sports Supplemental source context: Yahoo Sports (Strong): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title || Yahoo Sports (Strong): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Yahoo Sports || AOL.com (Other): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title AOL.com Verify exact stats, scores, records, player details, and jersey numbers before final design.","Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title","Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title","Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Yahoo Sports","Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title AOL.com","Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Wrestling Inc.",,,,,,,,,,,,,,,,,,,,,,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Yahoo Sports",,Yes,"""Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title"" score | Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title final score | Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title box score | Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Yahoo Sports",5,"Yahoo Sports (Strong): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title || Yahoo Sports (Strong): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Yahoo Sports || AOL.com (Other): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title AOL.com || Wrestling Inc. (Other): Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title Wrestling Inc. || Pro Wrestling Dot Net (Other): NXT TV results (3/17): Moore's review of Jacy Jayne vs. Sol Ruca vs. Zaria for the NXT Women's Championship, Tatum Paxley vs. Izzi Dame in a steel cage match for the NXT Women's NA Title"
10,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,NWSL / Women's Soccer,Business / Growth,FOX Sports,https://news.google.com/rss/articles/CBMiogJBVV95cUxQNDJ3cV82ZHd2bXRyTEZYVGR4YmxpLURPNFdleElPWEVWZkduN25UdHNqcTFnRjZqeUNZUlJyWVdoWVhnbE9tSDQtZlh0VnlwS3dWWHYySF9yRlRHdTFCa0d4Q2dMc2pSWEhMN2duYjNEWVFUbXZvaGgta3dDcGozbHhxdG9Sa0R6UHR0T2pLUkxjeTBTTU1vaEw3d05GR3gwNUx4VUk4YndjMF9reU1YS3ItdzB6QjYyRlN3OWFGQk9IVWJGR1Z3cHJYUTVjWTNmR19icWVtMWsxc01paGw2Zk9fd0FEaUNiTVFjTVBxdl9fYUI5ZEliNlI0UkNpWVF1dFc5QmJLbTBhYlE3NGI5UmV5QzBLUGd4d2RaeVEtWW04UQ?oc=5,Medium,supplemental_search,"Skipped Google News aggregator URL. Supplemental searches used: ""England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs"" | England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs amount number details | England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs purse revenue viewership attendance investment | England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports Supplemental source context: FOX Sports (Other): England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs || FOX Sports (Other): England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports || Evrim Ağacı (Other): England Defeats Ukraine But Faces World Cup Playoff Verify exact stats, scores, records, player details, and jersey numbers before final design.",England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports,England Defeats Ukraine But Faces World Cup Playoff,England Defeats Ukraine But Faces World Cup Playoff Evrim Ağacı,,,,,,,,,,,,,,,,,,,,,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports,,Yes,"""England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs"" | England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs amount number details | England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs purse revenue viewership attendance investment | England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports",4,FOX Sports (Other): England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs || FOX Sports (Other): England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs FOX Sports || Evrim Ağacı (Other): England Defeats Ukraine But Faces World Cup Playoff || Evrim Ağacı (Other): England Defeats Ukraine But Faces World Cup Playoff Evrim Ağacı
