rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Tonight in the W 4-Slide Template,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Angel Reese Posts Historic Double-Double in Dream vs,The story you need to know.
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Tonight in the W 4-Slide Template,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Tonight in the W 4-Slide Template,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Tonight in the W 4-Slide Template,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"Caitlin Clark, Fever draw another near-milestone",The story you need to know.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Growth Carousel Template,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in",Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,1,Hook,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most",The story you need to know.
3,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Growth Carousel Template,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in",Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
3,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Growth Carousel Template,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in",Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
3,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Growth Carousel Template,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in",Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,1,Hook,Gotham FC announces first-ever ‘dedicated’ training,The story you need to know.
4,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,3,Angle,The angle,A milestone worth putting into context.
4,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,4,CTA,Your take on this NWSL / Women's Soccer story?,Follow Her Sports Daily for more.
5,Laila Edwards 2026 Draft Profile,Standard Feed Card Template,Laila Edwards 2026 Draft Profile,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,1,Hook,Laila Edwards 2026 Draft Profile,The story you need to know.
5,Laila Edwards 2026 Draft Profile,Standard Feed Card Template,Laila Edwards 2026 Draft Profile,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
5,Laila Edwards 2026 Draft Profile,Standard Feed Card Template,Laila Edwards 2026 Draft Profile,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,3,Angle,The angle,Quick hit: Laila Edwards 2026 Draft Profile
5,Laila Edwards 2026 Draft Profile,Standard Feed Card Template,Laila Edwards 2026 Draft Profile,"This is a useful update, but it should be weighed against stronger stories.",More women's sports daily,4,CTA,Your take on this PWHL / Women's Hockey story?,Follow Her Sports Daily for more.
6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Growth Carousel Template,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Expansion stories show where fan demand and investor confidence are rising.,More softball coverage daily,1,Hook,"Grand Slams, Lights-Out Pitching Define AUSL Opening",The story you need to know.
6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Growth Carousel Template,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Expansion stories show where fan demand and investor confidence are rising.,More softball coverage daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Growth Carousel Template,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Expansion stories show where fan demand and investor confidence are rising.,More softball coverage daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Growth Carousel Template,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Expansion stories show where fan demand and investor confidence are rising.,More softball coverage daily,4,CTA,Your take on this Softball story?,Follow Her Sports Daily for more.
7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Graphic Template,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,1,Hook,Athletes Unlimited and TOGETHXR Debut “Everyone,The story you need to know.
7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Graphic Template,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Graphic Template,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,3,Angle,The angle,A milestone worth putting into context.
7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Graphic Template,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,4,CTA,Your take on this Softball story?,Follow Her Sports Daily for more.
8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting News Template,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,1,Hook,Iowa women's basketball reoffers 2028 4-star as,The story you need to know.
8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting News Template,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,2,Context,Why it matters,Recruiting and roster stories show where the next wave of stars is coming from.
8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting News Template,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,3,Angle,The angle,A future-star angle with a clear roster-building hook.
8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting News Template,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Recruiting and roster stories show where the next wave of stars is coming from.,More women's hoops daily,4,CTA,Your take on this NCAA Women's Basketball story?,Follow Her Sports Daily for more.
9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Postgame Recap Template,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title","What happened, who stood out, and why it matters for Women's Sports fans.",More women's sports daily,1,Hook,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's",The story you need to know.
9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Postgame Recap Template,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title","What happened, who stood out, and why it matters for Women's Sports fans.",More women's sports daily,2,Context,What happened,This is timely Women's Sports coverage with a result fans may want explained quickly.
9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Postgame Recap Template,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title","What happened, who stood out, and why it matters for Women's Sports fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Women's Sports fans."
9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Postgame Recap Template,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title","What happened, who stood out, and why it matters for Women's Sports fans.",More women's sports daily,4,CTA,Your take on this Women's Sports story?,Follow Her Sports Daily for more.
10,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,Growth Carousel Template,England women's player ratings vs Ukraine: Lauren James dazzles and,This helps show the business momentum behind women's sports.,More women's soccer daily,1,Hook,England women's player ratings vs Ukraine: Lauren,The story you need to know.
