posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,191,1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,159,3,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Maybe Post,WNBA,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Post 2nd,"Strong candidate, but not mandatory."
3,155,4,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,NWSL / Women's Soccer,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post 3rd,"Strong candidate, but not mandatory."
4,153,5,Laila Edwards 2026 Draft Profile,Maybe Post,PWHL / Women's Hockey,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,128,8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Save for Weekend,NCAA Women's Basketball,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
6,123,6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Save for Weekend,Softball,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
7,119,7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Save for Weekend,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,118,10,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,Save for Weekend,NWSL / Women's Soccer,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
9,113,9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Save for Weekend,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
10,112,2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
