rank,headline,content_family,template_name,asset_shape,suggested_aspect_ratio,image_generation_prompt
1,Angel Reese Posts Historic Double-Double in Dream vs Sky Victory,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Angel Reese Posts Historic Double-Double in Dream vs Sky Victory'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Caitlin Clark, Fever draw another near-milestone audience vs. Liberty'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
3,"A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List",Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: WNBA. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'A’ja Wilson, Dawn Staley Top 2026 TIME 100 Most Influential People in Sports List'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
4,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: NWSL / Women's Soccer. Content family: Milestone Card. Main headline: 'Gotham FC announces first-ever ‘dedicated’ training facility'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
5,Laila Edwards 2026 Draft Profile,Standard Feed,Standard Feed Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Standard Feed Card. Sport: PWHL / Women's Hockey. Content family: Standard Feed. Main headline: 'Laila Edwards 2026 Draft Profile'. Supporting line: 'This is a useful update, but it should be weighed against stronger stories.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use simple clean headline card with one supporting line and brand bug."
6,"Grand Slams, Lights-Out Pitching Define AUSL Opening Day",Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: Softball. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Grand Slams, Lights-Out Pitching Define AUSL Opening Day'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Softball. Content family: Milestone Card. Main headline: 'Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
8,Iowa women's basketball reoffers 2028 4-star as recruitment reopens,Roster News,Roster Update Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Roster Update Card. Sport: NCAA Women's Basketball. Content family: Roster News. Main headline: 'Iowa women's basketball reoffers 2028 4-star as recruitment reopens'. Supporting line: 'Recruiting and roster stories show where the next wave of stars is coming from.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete/program focus, breaking-update feel, and one concise why-it-matters line."
9,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Postgame Recap Card. Sport: Women's Sports. Content family: Postgame Recap. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title'. Slide 2 title: 'Why it matters' with body: 'This is timely Women's Sports coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for Women's Sports fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use recap structure, outcome first, top performer callout, and one takeaway panel."
10,England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway scores again but Lionesses set for Women's World Cup qualifying play-offs,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: NWSL / Women's Soccer. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'England women's player ratings vs Ukraine: Lauren James dazzles and Georgia Stanway'. Slide 2 title: 'Why it matters' with body: 'This helps show the business momentum behind women's sports.'. Slide 3 title: 'The angle' with body: 'The business of women's sports is not emerging anymore. It is becoming big business.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
