rank,headline,editorial_decision,caption_variant,caption
1,Georgia wins the 2026 DI women's outdoor track and field championship,Must Post,feed,"Georgia wins the 2026 DI women's outdoor track and field championship

What happened, who stood out, and why it matters for Track & Field fans.

Why it matters: This is timely Track & Field coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
1,Georgia wins the 2026 DI women's outdoor track and field championship,Must Post,carousel,"Georgia wins the 2026 DI women's outdoor track and field championship

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Track & Field coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
1,Georgia wins the 2026 DI women's outdoor track and field championship,Must Post,story,"Georgia wins the 2026 DI women's outdoor track and field championship

Quick hit: This is timely Track & Field coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Must Post,feed,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Must Post,carousel,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Must Post,story,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Maybe Post,feed,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Maybe Post,carousel,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Maybe Post,story,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Maybe Post,feed,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Maybe Post,carousel,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Maybe Post,story,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,feed,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,carousel,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
5,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,story,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
6,'Forza' in Rome: Paolini takes the title and sweeps to national glory,Maybe Post,feed,"'Forza' in Rome: Paolini takes the title and sweeps to national glory

What happened, who stood out, and why it matters for Tennis fans.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
6,'Forza' in Rome: Paolini takes the title and sweeps to national glory,Maybe Post,carousel,"'Forza' in Rome: Paolini takes the title and sweeps to national glory

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Tennis coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
6,'Forza' in Rome: Paolini takes the title and sweeps to national glory,Maybe Post,story,"'Forza' in Rome: Paolini takes the title and sweeps to national glory

Quick hit: This is timely Tennis coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WTA #Tennis"
7,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,feed,"Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,carousel,"Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four,Maybe Post,story,"Looking At What Each Of The PWHL's Expansion Teams Needs Most In Phase Four

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
8,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,feed,"Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews"
8,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,carousel,"Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews"
8,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,story,"Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews"
9,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,feed,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
9,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,carousel,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
9,Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut,Save for Weekend,story,"Former UCLA Softball Star Megan Grant Crushes Record Homer in AUSL Debut

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
10,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,feed,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective

The business of women's sports is not emerging anymore. It is becoming big business.

Why it matters: This helps show the business momentum behind women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,carousel,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective

Women's sports are becoming impossible for the business world to ignore.

Why it matters: This helps show the business momentum behind women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
10,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective",Save for Weekend,story,"Abby Wambach, USWNT Legends Join Crux Football’s Player Investor Collective

Quick hit: This helps show the business momentum behind women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
