rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,1,Hook,Georgia wins the 2026 DI women's outdoor track and,The story you need to know.
1,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,2,Context,What happened,This is timely Track & Field coverage with a result fans may want explained quickly.
1,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Track & Field fans."
1,Georgia wins the 2026 DI women's outdoor track and field championship,Postgame Recap Template,Georgia wins the 2026 DI women's outdoor track and field championship,"What happened, who stood out, and why it matters for Track & Field fans.",More women's sports daily,4,CTA,Your take on this Track & Field story?,Follow Her Sports Daily for more.
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,Indiana Fever vs. Connecticut Sun - Final Score - June,The story you need to know.
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for WNBA fans."
2,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026",Tonight in the W 4-Slide Template,"Indiana Fever vs. Connecticut Sun - Final Score - June 13, 2026","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA",The story you need to know.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
3,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9 3-pointers, Aces beat Fire 105-89",Tonight in the W 4-Slide Template,"A’ja Wilson scores 32 points, Chelsea Gray ties WNBA record with 9",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky vs Fever Thriller",Tonight in the W 4-Slide Template,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make History in Sky",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"Aliyah Boston, Caitlin Clark, and Sydney Taylor Make",The story you need to know.
