posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,196,1,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 1st,"High-score, timely, verified hard-news story."
2,191,2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post ASAP,Post 2nd,"High-score, timely, verified hard-news story."
3,159,4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post 3rd,"Strong candidate, but not mandatory."
4,149,5,Saint Leo wins 2026 NCAA DII softball championship,Maybe Post,Softball,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post later today,"Strong candidate, but not mandatory."
5,132,6,Notre Dame Women’s basketball hires former player as assistant coach,Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
6,126,7,Mirra Andreeva defeats Maja Chwalińska in French Open to win first Grand Slam,Save for Weekend,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
7,121,8,Dawn Staley and South Carolina Land Star Recruit Oliviyah Edwards,Save for Weekend,NCAA Women's Basketball,Recruiting / Roster News,Roster / Recruiting,Recruiting News Template,single card + Story follow-up,Post during daytime engagement window,Save for weekend,Useful but not urgent.
8,117,3,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
9,111,9,U.S. Women's Open 2026: USGA announces purse increase to record-breaking $12.5 million,Save for Weekend,Golf / LPGA,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
10,110,10,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Tennis,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
