script_version,editorial_decision,editorial_score,priority_score,source_quality,source_tier,eligibility_passed,eligibility_reason,recommended_timing,decision_reason,score_reason,freshness_component,story_value_component,brand_fit_component,engagement_component,source_component,penalty_component,content_bucket,content_lane,sport,story_type,source,title,published,age_hours,link,post_format,hook,first_slide,carousel_outline,instagram_angle,why_it_matters,caption_starter,visual_brief,hashtags,primary_entity,cluster_id,cluster_rank,related_story_count,duplicate_status,verification_needed,sensitive,time_sensitive,categories,summary
v11_final,Must Post,81,9,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,35,14,8,12,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Associated Press,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",2026-06-06T04:35:00+00:00,11.3,https://sports.yahoo.com/articles/arike-ogunbowales-30-points-paige-043500213.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Paige Bueckers,wnba::paige bueckers,1,5,Primary,No,No,No,AP Online Other Sports News,"Arike Ogunbowale scored 30 points and made six 3-pointers, Paige Bueckers had 18 points and a career-high 14 assists and the Dallas Wings beat the Los Angeles Sparks 104-96 on Friday night for their fourth straight victory. Bueckers tied Ogunbowale's franchise record of 14 assists in a game."
v11_final,Must Post,79,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Record or milestone. Fresh under 24 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",10,35,14,10,10,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Just Women's Sports,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",2026-06-05T17:42:38+00:00,22.2,https://justwomenssports.com/reads/2026-wnba-player-stats-trends-aja-wilson-caitlin-clark-wnba-games/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,"Milestone watch: A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026 What should we cover next?","Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin_clark_records,1,3,Primary,No,No,No,"Basketball, News, WNBA, 2026 WNBA season, A'ja Wilson, Caitlin Clark, Indiana Fever, Olivia Miles, WNBA stats","Track the latest record-breaking player stats, standout games, and top rookie scores from the first month of the 2026 WNBA season. The post A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026 appeared first on Just Women's Sports ."
v11_final,Verify First,79,8,6,Other,Yes,Passed: clear women's sports signal.,Verify first,Needs stronger confirmation before posting.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,35,14,10,8,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Hardwood Heroics,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,2026-06-06T13:28:09+00:00,2.4,https://sports.yahoo.com/articles/momentum-changer-angel-reese-earns-132809579.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: “It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Angel Reese,wnba::angel reese,1,2,Primary,Yes,No,No,"Angel Reese, Basketball Gossip","On a night where the main storyline was Brittney Griner’s first game against her former side, the Atlanta Dream, Angel Reese decided it was her time to shine and prove to everybody that she’s the worthy replacement for the 10-time WNBA All-Star. As the Connecticut Sun led the game by four points with just a [...]"
v11_final,Must Post,77,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Post ASAP,"High-score, timely, verified hard-news story.","Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,8,13,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Las Vegas Aces | WNBA,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,2026-06-03T22:33:07+00:00,65.3,https://news.google.com/rss/articles/CBMisgFBVV95cUxOQm1lTklnZlhXNFhYME91UWtLMDM1UlVkbE1hR1FUOXNZcjFNd3hiYll6dkVVNWowMEJvVGV3ZnU0SGtMVHNmOWxSOUt3ZllzcHAxMnZwZG9WRWdBa0VTV2Fia0dUN0lManFCUzVTUXdRUjR3SXNHcFQtZnZyeVFqUDVUM1pLUm5ESmZscFJsZnVnNkRpbjRvZ1pHX1V4dFlrc1pRV001TUtsQklYdXhLOVZB?oc=5,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,A'Ja Wilson,wnba::aja_wilson,1,4,Primary,No,No,No,,A’ja Wilson Earns Record 14th Career WNBA Western Conference Player of the Month Award Las Vegas Aces | WNBA
v11_final,Skip Duplicate,77,8,6,Other,Yes,Passed: clear women's sports signal.,Verify first,Another stronger version of this topic already exists.,"Record or milestone. Fresh under 12 hours. Core brand sport: WNBA. Source quality 6/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",12,35,14,8,8,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Hardwood Heroics,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,2026-06-06T12:30:54+00:00,3.4,https://sports.yahoo.com/articles/caitlin-took-always-ownership-stephanie-123054368.html,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: “Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,“Caitlin Took Always Take Ownership. Stephanie White Never Will”: WNBA Fans Applaud Caitlin Clark For Taking Accountability On Fever’s 6-6 Record What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin_clark_records,2,3,Duplicate / alternate angle,Yes,No,No,"Indiana Fever, Caitlin Clark, WNBA",The Indiana Fever front office is making massive headlines again. They dropped a massive ban on a respected journalist. WNBA Fans are absolutely furious right now. Banning media members is a huge red flag. The sports world is watching this disaster. It is a completely bad look for the growing league. The drama never stops. [...]
v11_final,Skip Duplicate,76,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Post ASAP,Another stronger version of this topic already exists.,"Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",7,35,14,10,10,0,Star Watch,Star-driven engagement,WNBA,Record / Milestone,Just Women's Sports,Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers,2026-06-05T15:15:24+00:00,24.6,https://justwomenssports.com/reads/olivia-miles-minnesota-lynx-wnba-rookie-stats-record-3-pointers/,Breaking graphic + carousel,This is the kind of milestone that shows where the game is headed.,Milestone watch: Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,Caitlin Clark,wnba::caitlin_clark_records,3,3,Duplicate / alternate angle,No,No,No,"Basketball, News, WNBA, 2026 WNBA rookies, 2026 WNBA season, Caitlin Clark, Minnesota Lynx, Olivia Miles","Minnesota rookie Olivia Miles made WNBA stats history, breaking Caitlin Clark’s 3-pointer record in Thursday's Lynx vs Valkyries win. The post Olivia Miles Breaks Caitlin Clark’s WNBA Rookie Record with 8 3-Pointers appeared first on Just Women's Sports ."
v11_final,Maybe Post,75,8,8,Specialty Women's Sports,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.","Record or milestone. Fresh under 24 hours. Strong secondary sport: Softball. Source quality 8/10. Engagement: major athlete, high-interest keyword. Penalties: no major penalties.",10,35,10,10,10,0,Star Watch,Star-driven engagement,Softball,Record / Milestone,Just Women's Sports,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,2026-06-05T19:55:08+00:00,20.0,https://justwomenssports.com/reads/texas-softball-reese-atwood-wcws-championship-ausl-2026/,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS,Reese Atwood,softball::texas_wcws_title,1,62,Primary,No,No,No,"NCAA, News, Softball, 2026 AUSL season, 2026 WCWS, AUSL, Reese Atwood, Texas softball",Texas softball legend Reese Atwood crowned her historic career with a second straight WCWS national championship before heading to the AUSL. The post Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships appeared first on Just Women's Sports .
v11_final,Maybe Post,72,8,9,Wire / Mainstream,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.",Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 9/10. Engagement: high-interest keyword. Penalties: no major penalties.,7,35,14,4,12,0,Daily News,Daily news,WNBA,Record / Milestone,ESPN,Lynx's Miles breaks Clark's WNBA rookie record with 8 3-pointers,2026-06-05T05:28:00+00:00,34.4,https://news.google.com/rss/articles/CBMiowFBVV95cUxPWHp6Nl9aTElVdlFxQVMydjBWTUZXQjlFemlQNzkxOGNZY0toeWpJVFJfeUx2UG9KZHlFUTRKUHAzRXFNX3BNdmg5Y1FEcVhVQ2JBbk5wbXVLeThTVHBidTM1MDFwVWJKRTBoNDlFX20wYlI5T1FMbDJsamllU1ItSUFldlAxWXNrc3dRdk91VGF5bVlUZjgyd0hPbTVRS0lMRjB3?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Lynx's Miles breaks Clark's WNBA rookie record with 8 3-pointers,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Lynx's Miles breaks Clark's WNBA rookie record with 8 3-pointers What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,,wnba::lynx's_miles_breaks_clark's_wnba_rookie_record_pointers,1,1,Primary,No,No,No,,Lynx's Miles breaks Clark's WNBA rookie record with 8 3-pointers ESPN
v11_final,Maybe Post,71,8,10,Official League / Governing Body,Yes,Passed: clear women's sports signal.,Use when convenient,"Strong candidate, but not mandatory.",Record or milestone. Recent under 72 hours. Core brand sport: WNBA. Source quality 10/10. Engagement: high-interest keyword. Penalties: no major penalties.,7,35,14,2,13,0,Daily News,Daily news,WNBA,Record / Milestone,New York Liberty (WNBA),JJ Posts Historic Night To Lead Liberty Over Tempo,2026-06-04T03:25:32+00:00,60.5,https://news.google.com/rss/articles/CBMihwFBVV95cUxQakNXcDVfeFoyV05rZWZoN0VqNjA0RzVtcVVQTGFiUEcxU190OGpfMnVnX3BfMkh1RkdPcTRIR09wWnBZTXpoX2lIaTQzUVR4OUJzc1l1ODAxY1hjc2ZJaWRGRFYwZmpYOVNyUEw4MklENWtLWFpNZWJGdWsyZ2VrekZDQ1dndlU?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: JJ Posts Historic Night To Lead Liberty Over Tempo,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,JJ Posts Historic Night To Lead Liberty Over Tempo What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball,New York Liberty,wnba::new york liberty,1,4,Primary,No,No,No,,JJ Posts Historic Night To Lead Liberty Over Tempo New York Liberty (WNBA)
v11_final,Skip,71,8,6,Other,Yes,Passed: clear women's sports signal.,Use when convenient,Needs verification and score is not high enough.,Record or milestone. Fresh under 24 hours. Core brand sport: PWHL / Women's Hockey. Source quality 6/10. Engagement: high-interest keyword. Penalties: no major penalties.,10,35,14,4,8,0,Daily News,Daily news,PWHL / Women's Hockey,Record / Milestone,The Hockey News,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing,2026-06-05T19:44:51+00:00,20.2,https://news.google.com/rss/articles/CBMipwFBVV95cUxNYzJZM3FFT1dwVWpTWlI3bS1Ta2p0YXNxVC1sTW9SRGpRTGU2UDZDel9VQnlERnRueVJNeWpSS3pja25mZmpMcFY3QUdVLVJCZl9ueFEzbnotM29jc29oUW10Szd5ZW5GNmhfcjlWUXZuck41Y3VBSzNQU19RNEpnZzdVcGxSYm1VMFpOZm00WHN4SHgyczdZZ3o1T2NFa2txMzZLY1ROTQ?oc=5,Story post,This is the kind of milestone that shows where the game is headed.,Milestone watch: Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing,Slide 1: milestone | Slide 2: context | Slide 3: why it matters | Slide 4: what comes next,A milestone worth putting into context.,Records and milestones are proof points for the rise of women's sports.,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing What should we cover next?,"Use a milestone carousel with the record, context, and why it matters.",#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey,Pwhl,pwhl / women's hockey::pwhl,1,23,Primary,Yes,No,No,,Brianne Jenner Heads Home As PWHL Hamilton's Historic First Signing The Hockey News
