rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Tonight in the W 4-Slide Template,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"Arike Ogunbowale's 30 points, Paige Bueckers'",The story you need to know.
1,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Tonight in the W 4-Slide Template,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Tonight in the W 4-Slide Template,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists lead Wings past Sparks 104-96",Tonight in the W 4-Slide Template,"Arike Ogunbowale's 30 points, Paige Bueckers' career-high 14 assists",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter",The story you need to know.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,“It Was A Momentum Changer”: Angel Reese Earns High,The story you need to know.
3,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
3,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
3,“It Was A Momentum Changer”: Angel Reese Earns High Praise From Atlanta HC After Milestone Performance,Tonight in the W 4-Slide Template,“It Was A Momentum Changer”: Angel Reese Earns High Praise From,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,1,Hook,Reese Atwood Caps Texas Career with Back-to-Back WCWS,The story you need to know.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Milestone Graphic Template,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Records and milestones are proof points for the rise of women's sports.,More softball coverage daily,4,CTA,Your take on this Softball story?,Follow Her Sports Daily for more.
5,Saint Leo wins 2026 NCAA DII softball championship,Postgame Recap Template,Saint Leo wins 2026 NCAA DII softball championship,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,1,Hook,Saint Leo wins 2026 NCAA DII softball championship,The story you need to know.
5,Saint Leo wins 2026 NCAA DII softball championship,Postgame Recap Template,Saint Leo wins 2026 NCAA DII softball championship,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,2,Context,What happened,This is timely Softball coverage with a result fans may want explained quickly.
5,Saint Leo wins 2026 NCAA DII softball championship,Postgame Recap Template,Saint Leo wins 2026 NCAA DII softball championship,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Softball fans."
