posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,168,3,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in Aces win",Maybe Post,WNBA,Game Recap / Result,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Post within 2 hours if still fresh,Post 1st,"Strong candidate, but not mandatory."
2,160,6,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Use when convenient,Post 2nd,"Strong candidate, but not mandatory."
3,159,2,Texas wins second straight Women's College World Series title | FINAL OUT,Maybe Post,Softball,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Post 3rd,"Strong candidate, but not mandatory."
4,154,4,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,Tennis,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,152,7,"Hilary Knight will play for PWHL expansion Detroit via sign-and-trade with Las Vegas, AP source says",Maybe Post,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Post later today,"Strong candidate, but not mandatory."
6,149,5,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Maybe Post,Golf / LPGA,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
7,126,8,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Save for Weekend,Softball,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
8,126,9,Michigan Women’s Basketball announces Big Ten home/away opponents,Save for Weekend,NCAA Women's Basketball,Breaking / Transaction,Standard Feed Post,Standard Feed Card Template,single feed card,Save for weekend or filler slot,Save for weekend,Useful but not urgent.
9,115,1,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
10,113,10,Sol Ruca's First Women's IC Title Defense Set For WWE Raw In Paris,Save for Weekend,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
