post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in Aces win",Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
2,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
3,Texas wins second straight Women's College World Series title | FINAL OUT,Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post third,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Softball fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
4,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,"Hilary Knight will play for PWHL expansion Detroit via sign-and-trade with Las Vegas, AP source says",Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make if time today,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
6,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
7,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
8,Michigan Women’s Basketball announces Big Ten home/away opponents,Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,Quick hit: Michigan Women’s Basketball announces Big Ten home/away opponents,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
9,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
10,Sol Ruca's First Women's IC Title Defense Set For WWE Raw In Paris,Save for Weekend,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Save for weekend,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Women's Sports fans.","Use a quick recap carousel with final result, top performer, and next game.",Useful but not urgent.
