rank,headline,content_family,template_name,asset_shape,suggested_aspect_ratio,image_generation_prompt
1,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
2,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Postgame Recap Card. Sport: Softball. Content family: Postgame Recap. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Texas wins second straight Women's College World Series title | FINAL OUT'. Slide 2 title: 'Why it matters' with body: 'This is timely Softball coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for Softball fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use recap structure, outcome first, top performer callout, and one takeaway panel."
3,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in Aces win",Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in Aces win'. Slide 2 title: 'Why it matters' with body: 'This is timely WNBA coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for WNBA fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
4,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Tennis. Content family: Milestone Card. Main headline: 'Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
5,Nelly Korda continues her historic march with 2026 U.S. Women's Open title,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Golf / LPGA. Content family: Milestone Card. Main headline: 'Nelly Korda continues her historic march with 2026 U.S. Women's Open title'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
6,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Tonight in the W. Sport: WNBA. Content family: Tonight in the W. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss'. Slide 2 title: 'Why it matters' with body: 'Records and milestones are proof points for the rise of women's sports.'. Slide 3 title: 'The angle' with body: 'A milestone worth putting into context.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use energetic sports graphic styling, matchup emphasis, strong hierarchy, top-left watermark safe zone, and clear CTA."
7,"Hilary Knight will play for PWHL expansion Detroit via sign-and-trade with Las Vegas, AP source says",Growth of the Game,Growth Carousel,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Growth Carousel. Sport: PWHL / Women's Hockey. Content family: Growth of the Game. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Hilary Knight will play for PWHL expansion Detroit via sign-and-trade with Las Vegas, AP'. Slide 2 title: 'Why it matters' with body: 'Expansion stories show where fan demand and investor confidence are rising.'. Slide 3 title: 'The angle' with body: 'Another sign that women's sports demand is outgrowing the old model.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use clean editorial design, stat-forward layout, strong number hierarchy, and easy-to-read supporting text."
8,Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic Growth for the Game,Milestone Card,Milestone Graphic,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Milestone Graphic. Sport: Softball. Content family: Milestone Card. Main headline: 'Athletes Unlimited and TOGETHXR Debut “Everyone Watches Women’s Softball” Amid Historic'. Supporting line: 'Records and milestones are proof points for the rise of women's sports.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use athlete hero image, big milestone number or phrase, and one concise context line."
9,Michigan Women’s Basketball announces Big Ten home/away opponents,Standard Feed,Standard Feed Card,single 4:5 feed card,4:5,"Create a single 4:5 Instagram feed graphic for Her Sports Daily. Template style: Standard Feed Card. Sport: NCAA Women's Basketball. Content family: Standard Feed. Main headline: 'Michigan Women’s Basketball announces Big Ten home/away opponents'. Supporting line: 'This is a useful update, but it should be weighed against stronger stories.'. Include a short footer CTA such as 'More women's sports daily'. Use a clean modern sports editorial look. Use simple clean headline card with one supporting line and brand bug."
10,Sol Ruca's First Women's IC Title Defense Set For WWE Raw In Paris,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,4:5,"Create a 4-slide 4:5 Instagram carousel for Her Sports Daily. Template style: Postgame Recap Card. Sport: Women's Sports. Content family: Postgame Recap. Use a bold editorial women's sports aesthetic with strong hierarchy. Slide 1 headline: 'Sol Ruca's First Women's IC Title Defense Set For WWE Raw In Paris'. Slide 2 title: 'Why it matters' with body: 'This is timely Women's Sports coverage with a result fans may want explained quickly.'. Slide 3 title: 'The angle' with body: 'What happened, who stood out, and why it matters for Women's Sports fans.'. Slide 4 title: 'Your take?' with a short CTA to comment and follow Her Sports Daily. Use recap structure, outcome first, top performer callout, and one takeaway panel."
