rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Tonight in the W 4-Slide Template,What Caitlin Clark immediately did after her first-ever game-winner,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,What Caitlin Clark immediately did after her first-ever,The story you need to know.
1,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Tonight in the W 4-Slide Template,What Caitlin Clark immediately did after her first-ever game-winner,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Tonight in the W 4-Slide Template,What Caitlin Clark immediately did after her first-ever game-winner,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,What Caitlin Clark immediately did after her first-ever game-winner is winning WNBA fans’ hearts,Tonight in the W 4-Slide Template,What Caitlin Clark immediately did after her first-ever game-winner,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,1,Hook,Texas wins second straight Women's College World,The story you need to know.
2,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,2,Context,What happened,This is timely Softball coverage with a result fans may want explained quickly.
2,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Softball fans."
2,Texas wins second straight Women's College World Series title | FINAL OUT,Postgame Recap Template,Texas wins second straight Women's College World Series title | FINAL,"What happened, who stood out, and why it matters for Softball fans.",More softball coverage daily,4,CTA,Your take on this Softball story?,Follow Her Sports Daily for more.
3,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in Aces win",Tonight in the W 4-Slide Template,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,"A'ja Wilson beats Diana Taurasi to 6,000 points for",The story you need to know.
3,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in Aces win",Tonight in the W 4-Slide Template,"A'ja Wilson beats Diana Taurasi to 6,000 points for WNBA record in","What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
