rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Tonight in the W 4-Slide Template,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,1,Hook,Minnesota Lynx Beats Portland Fire 107-74 Behind 7,The story you need to know.
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Tonight in the W 4-Slide Template,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,2,Context,What happened,This is timely WNBA coverage with a result fans may want explained quickly.
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Tonight in the W 4-Slide Template,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for WNBA fans."
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Tonight in the W 4-Slide Template,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit,"What happened, who stood out, and why it matters for WNBA fans.",More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Milestone Graphic Template,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,The story you need to know.
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Milestone Graphic Template,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Milestone Graphic Template,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Milestone Graphic Template,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this PWHL / Women's Hockey story?,Follow Her Sports Daily for more.
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Growth Carousel Template,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,1,Hook,ESPN Announces ‘Setting The Tempo’ Docuseries on,The story you need to know.
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Growth Carousel Template,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Growth Carousel Template,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Growth Carousel Template,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Dream Notches First-Ever Win Against Expansion Toronto,The story you need to know.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Tonight in the W 4-Slide Template,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's,The story you need to know.
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Milestone Graphic Template,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Track & Field story?,Follow Her Sports Daily for more.
6,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,1,Hook,"Gauff wins third career WTA 1000 title, ends Pegula’s",The story you need to know.
6,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,2,Context,What happened,This is timely Tennis coverage with a result fans may want explained quickly.
6,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Tennis fans."
6,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Postgame Recap Template,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run","What happened, who stood out, and why it matters for Tennis fans.",More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,"Mercedes-Benz, WTA launch first-ever star-shaped court",The story you need to know.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Milestone Graphic Template,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,1,Hook,Gotham FC announces first-ever ‘dedicated’ training,The story you need to know.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,3,Angle,The angle,A milestone worth putting into context.
8,Gotham FC announces first-ever ‘dedicated’ training facility,Milestone Graphic Template,Gotham FC announces first-ever ‘dedicated’ training facility,Records and milestones are proof points for the rise of women's sports.,More women's soccer daily,4,CTA,Your take on this NWSL / Women's Soccer story?,Follow Her Sports Daily for more.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,1,Hook,Juli Inkster Becomes Oldest Player to Make a Cut on,The story you need to know.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,3,Angle,The angle,A milestone worth putting into context.
9,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Milestone Graphic Template,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at,Records and milestones are proof points for the rise of women's sports.,More LPGA coverage daily,4,CTA,Your take on this Golf / LPGA story?,Follow Her Sports Daily for more.
10,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Standard Feed Card Template,"Ole Miss, Mississippi State women's basketball SEC opponents","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,1,Hook,"Ole Miss, Mississippi State women's basketball SEC",The story you need to know.
10,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Standard Feed Card Template,"Ole Miss, Mississippi State women's basketball SEC opponents","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
10,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Standard Feed Card Template,"Ole Miss, Mississippi State women's basketball SEC opponents","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,3,Angle,The angle,"Quick hit: Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27"
