post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make and post second,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
3,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
4,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,"Gauff wins third career WTA 1000 title, ends Pegula’s impressive run in Wuhan",Maybe Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Tennis fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
7,"Mercedes-Benz, WTA launch first-ever star-shaped court in Berlin",Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
9,"Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27",Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,"Quick hit: Ole Miss, Mississippi State women's basketball SEC opponents announced for 2026-27","Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
10,Juli Inkster Becomes Oldest Player to Make a Cut on the LPGA Tour at 2026 Dow Championship,Save for Weekend,Milestone Card,Milestone Graphic,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Useful but not urgent.
