rank,headline,editorial_decision,caption_variant,caption
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Must Post,feed,"Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Must Post,carousel,"Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers,Must Post,story,"Minnesota Lynx Beats Portland Fire 107-74 Behind 7 Double-Digit Scorers

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Maybe Post,feed,"PWHL Las Vegas Taps Kim Weiss as 1st Head Coach

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Maybe Post,carousel,"PWHL Las Vegas Taps Kim Weiss as 1st Head Coach

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
2,PWHL Las Vegas Taps Kim Weiss as 1st Head Coach,Maybe Post,story,"PWHL Las Vegas Taps Kim Weiss as 1st Head Coach

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Maybe Post,feed,"ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Maybe Post,carousel,"ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team,Maybe Post,story,"ESPN Announces ‘Setting The Tempo’ Docuseries on Canada’s 1st WNBA Team

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,feed,"Dream Notches First-Ever Win Against Expansion Toronto Tempo

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,carousel,"Dream Notches First-Ever Win Against Expansion Toronto Tempo

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,Dream Notches First-Ever Win Against Expansion Toronto Tempo,Maybe Post,story,"Dream Notches First-Ever Win Against Expansion Toronto Tempo

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,feed,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,carousel,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
5,Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record,Maybe Post,story,"Georgia's Adaejah Hodge breaks Sha'Carri Richardson's 100 meter NCAA record

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
