entity_type,entity_id,approval_scope,approval_status,approved_by,approved_at_utc,auto_approval_allowed,render_enabled,publish_ready,notes
league,pwhl,league_mark,not_approved,,,false,false,false,manual review required
team,boston_fleet,team_identity,not_approved,,,false,false,false,manual review required
team,boston_fleet,team_logo,not_approved,,,false,false,false,manual review required
team,boston_fleet,team_roster_source,not_approved,,,false,false,false,manual review required
team,detroit,team_identity,not_approved,,,false,false,false,manual review required
team,detroit,team_logo,not_approved,,,false,false,false,manual review required
team,detroit,team_roster_source,not_approved,,,false,false,false,manual review required
team,hamilton,team_identity,not_approved,,,false,false,false,manual review required
team,hamilton,team_logo,not_approved,,,false,false,false,manual review required
team,hamilton,team_roster_source,not_approved,,,false,false,false,manual review required
team,las_vegas,team_identity,not_approved,,,false,false,false,manual review required
team,las_vegas,team_logo,not_approved,,,false,false,false,manual review required
team,las_vegas,team_roster_source,not_approved,,,false,false,false,manual review required
team,minnesota_frost,team_identity,not_approved,,,false,false,false,manual review required
team,minnesota_frost,team_logo,not_approved,,,false,false,false,manual review required
team,minnesota_frost,team_roster_source,not_approved,,,false,false,false,manual review required
team,montreal_victoire,team_identity,not_approved,,,false,false,false,manual review required
team,montreal_victoire,team_logo,not_approved,,,false,false,false,manual review required
team,montreal_victoire,team_roster_source,not_approved,,,false,false,false,manual review required
team,new_york_sirens,team_identity,not_approved,,,false,false,false,manual review required
team,new_york_sirens,team_logo,not_approved,,,false,false,false,manual review required
team,new_york_sirens,team_roster_source,not_approved,,,false,false,false,manual review required
team,ottawa_charge,team_identity,not_approved,,,false,false,false,manual review required
team,ottawa_charge,team_logo,not_approved,,,false,false,false,manual review required
team,ottawa_charge,team_roster_source,not_approved,,,false,false,false,manual review required
team,san_jose,team_identity,not_approved,,,false,false,false,manual review required
team,san_jose,team_logo,not_approved,,,false,false,false,manual review required
team,san_jose,team_roster_source,not_approved,,,false,false,false,manual review required
team,seattle_torrent,team_identity,not_approved,,,false,false,false,manual review required
team,seattle_torrent,team_logo,not_approved,,,false,false,false,manual review required
team,seattle_torrent,team_roster_source,not_approved,,,false,false,false,manual review required
team,toronto_sceptres,team_identity,not_approved,,,false,false,false,manual review required
team,toronto_sceptres,team_logo,not_approved,,,false,false,false,manual review required
team,toronto_sceptres,team_roster_source,not_approved,,,false,false,false,manual review required
team,vancouver_goldeneyes,team_identity,not_approved,,,false,false,false,manual review required
team,vancouver_goldeneyes,team_logo,not_approved,,,false,false,false,manual review required
team,vancouver_goldeneyes,team_roster_source,not_approved,,,false,false,false,manual review required
