entity_type,entity_id,league_id,team_id,asset_slot,intended_use,target_path,source_url_required,local_file_path,file_exists,approval_status,render_enabled,auto_download_allowed,publish_ready,notes
league,pwhl,pwhl,,league_mark,league mark reference candidate,assets/leagues/womens_hockey/pwhl/league_mark.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,boston_fleet,pwhl,boston_fleet,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/boston_fleet/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,detroit,pwhl,detroit,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/detroit/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,hamilton,pwhl,hamilton,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/hamilton/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,las_vegas,pwhl,las_vegas,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/las_vegas/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,minnesota_frost,pwhl,minnesota_frost,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/minnesota_frost/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,montreal_victoire,pwhl,montreal_victoire,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/montreal_victoire/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,new_york_sirens,pwhl,new_york_sirens,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/new_york_sirens/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,ottawa_charge,pwhl,ottawa_charge,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/ottawa_charge/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,san_jose,pwhl,san_jose,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/san_jose/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,seattle_torrent,pwhl,seattle_torrent,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/seattle_torrent/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,toronto_sceptres,pwhl,toronto_sceptres,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/toronto_sceptres/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
team,vancouver_goldeneyes,pwhl,vancouver_goldeneyes,primary_logo,team logo reference candidate,assets/leagues/womens_hockey/pwhl/teams/vancouver_goldeneyes/logo.png,true,,false,not_approved,false,false,false,review-only placeholder; no file write expected
