rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Tonight in the W 4-Slide Template,New York Puts Unbeaten Commissioner’s Cup Record on the Line in,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,New York Puts Unbeaten Commissioner’s Cup Record on,The story you need to know.
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Tonight in the W 4-Slide Template,New York Puts Unbeaten Commissioner’s Cup Record on the Line in,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Tonight in the W 4-Slide Template,New York Puts Unbeaten Commissioner’s Cup Record on the Line in,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Tonight in the W 4-Slide Template,New York Puts Unbeaten Commissioner’s Cup Record on the Line in,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"Caitlin Clark, Fever draw another near-milestone",The story you need to know.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Tonight in the W 4-Slide Template,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Tonight in the W 4-Slide Template,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Brittney Sykes Drops 38 as Toronto Outlasts,The story you need to know.
3,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Tonight in the W 4-Slide Template,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
