post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post first,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
2,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
3,PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled,Maybe Post,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Make and post third,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.","Strong candidate, but not mandatory."
4,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,Trinity Rodman: ‘Insane’ USWNT friendlies in Brazil are good prep for Women’s World Cup,Save for Weekend,Pregame Analysis,Pregame Matchup Card,4-slide 4:5 carousel,Save for weekend,Post before tipoff/kickoff,"What to watch tonight in NWSL / Women's Soccer, with one key player and one key matchup.","Use a Tonight graphic with matchup, time/network if available, and one key player.",Useful but not urgent.
6,"Berlin Open 411: Dates, draws, prize money and everything to know",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
7,Audience Analysis: McAfee special not a viewership hit; WCWS finale sets record,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
8,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Save for Weekend,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Save for weekend,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Women's Sports fans.","Use a quick recap carousel with final result, top performer, and next game.",Useful but not urgent.
9,"After Phase 2 losses, who will the Montréal Victoire protect in Phase 3 of expansion?",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.",Useful but not urgent.
10,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Verify First,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Hold,Verify first,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.",Needs stronger confirmation before posting.
