rank,headline,editorial_decision,caption_variant,caption
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Maybe Post,feed,"New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Maybe Post,carousel,"New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Maybe Post,story,"New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Verify First,feed,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Verify First,carousel,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Verify First,story,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Maybe Post,feed,"Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Maybe Post,carousel,"Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Maybe Post,story,"Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
4,PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled,Maybe Post,feed,"PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled

Another sign that women's sports demand is outgrowing the old model.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
4,PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled,Maybe Post,carousel,"PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled

Another market is betting big on women's sports.

Why it matters: Expansion stories show where fan demand and investor confidence are rising.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
4,PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled,Maybe Post,story,"PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled

Quick hit: Expansion stories show where fan demand and investor confidence are rising.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,feed,"Gotham FC announces first-ever ‘dedicated’ training facility

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,carousel,"Gotham FC announces first-ever ‘dedicated’ training facility

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,story,"Gotham FC announces first-ever ‘dedicated’ training facility

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
