posting_order,priority_score,rank,headline,editorial_decision,sport,story_type,content_family,template_name,recommended_asset,recommended_timing,post_now_or_later,why_this_is_priority
1,165,1,New York Puts Unbeaten Commissioner’s Cup Record on the Line in Atlanta,Maybe Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Use when convenient,Post 1st,"Strong candidate, but not mandatory."
2,163,3,Brittney Sykes Drops 38 as Toronto Outlasts Connecticut in OT Thriller,Maybe Post,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Use when convenient,Post 2nd,"Strong candidate, but not mandatory."
3,152,4,PWHL Expansion: Rumour Mill Continues To Swirl As PWHL Talent-Pool Continues To Be Shuffled,Maybe Post,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Post 3rd,"Strong candidate, but not mandatory."
4,148,5,Gotham FC announces first-ever ‘dedicated’ training facility,Maybe Post,NWSL / Women's Soccer,Record / Milestone,Milestone / Stat Watch,Milestone Graphic Template,single card or 3-slide carousel,Use when convenient,Post later today,"Strong candidate, but not mandatory."
5,130,7,Trinity Rodman: ‘Insane’ USWNT friendlies in Brazil are good prep for Women’s World Cup,Save for Weekend,NWSL / Women's Soccer,Game Preview,Pregame Analysis,Pregame Matchup Template,4-slide carousel,Post before tipoff/kickoff,Save for weekend,Useful but not urgent.
6,122,6,"Berlin Open 411: Dates, draws, prize money and everything to know",Save for Weekend,Tennis,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
7,116,10,Audience Analysis: McAfee special not a viewership hit; WCWS finale sets record,Save for Weekend,Softball,Business / Growth,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
8,113,8,"Zaria Tears Through Tatum Paxley, Wins WWE NXT Women's NA Title",Save for Weekend,Women's Sports,Game Recap / Result,Postgame Recap,Postgame Recap Template,single card or 4-slide carousel,Post within 2 hours if still fresh,Save for weekend,Useful but not urgent.
9,113,9,"After Phase 2 losses, who will the Montréal Victoire protect in Phase 3 of expansion?",Save for Weekend,PWHL / Women's Hockey,League Expansion,Growth of the Game,Growth Carousel Template,4-slide carousel,Post during daytime engagement window,Save for weekend,Useful but not urgent.
10,107,2,"Caitlin Clark, Fever draw another near-milestone audience vs. Liberty",Verify First,WNBA,Record / Milestone,Tonight in the W,Tonight in the W 4-Slide Template,4-slide carousel,Verify first,Hold,Needs stronger confirmation before posting.
