post_sequence,headline,editorial_decision,content_family,template_name,asset_shape,action,timing,caption_direction,graphic_direction,reason
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Make and post first,Post ASAP,"What happened, who stood out, and why it matters for Golf / LPGA fans.","Use a quick recap carousel with final result, top performer, and next game.","High-score, timely, verified hard-news story."
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post second,Post ASAP,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","High-score, timely, verified hard-news story."
3,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make and post third,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
4,PWHL Las Vegas signs first-ever players ahead of inaugural season,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
5,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,Milestone Card,Milestone Graphic,single 4:5 feed card,Make if time today,Use when convenient,A milestone worth putting into context.,"Use a milestone carousel with the record, context, and why it matters.","Strong candidate, but not mandatory."
6,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Maybe Post,Tonight in the W,Tonight in the W,4-slide 4:5 carousel,Make if time today,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for WNBA fans.","Use a quick recap carousel with final result, top performer, and next game.","Strong candidate, but not mandatory."
7,UCLA women’s basketball signs Slovenian guard Lina Jerkovic,Save for Weekend,Standard Feed,Standard Feed Card,single 4:5 feed card,Save for weekend,Save for weekend or filler slot,Quick hit: UCLA women’s basketball signs Slovenian guard Lina Jerkovic,"Use a simple NCAA Women's Basketball news card with headline, context, and one engagement question.",Useful but not urgent.
8,Toronto Sceptres Pushing Through Expansion Process,Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,Another sign that women's sports demand is outgrowing the old model.,"Use a map, team/logo style graphic, or market comparison carousel.",Useful but not urgent.
9,Breaking News: Mirra Andreeva Wins Women's French Open Final Stream of Tennis,Save for Weekend,Postgame Recap,Postgame Recap Card,4-slide 4:5 carousel,Save for weekend,Post within 2 hours if still fresh,"What happened, who stood out, and why it matters for Women's Sports fans.","Use a quick recap carousel with final result, top performer, and next game.",Useful but not urgent.
10,"Queen's Club 411: Dates, who's playing, prize money and more",Save for Weekend,Growth of the Game,Growth Carousel,4-slide 4:5 carousel,Save for weekend,Post during daytime engagement window,The business of women's sports is not emerging anymore. It is becoming big business.,Use a clean data carousel with bold numbers and simple context.,Useful but not urgent.
