rank,headline,editorial_decision,caption_variant,caption
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,feed,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major

What happened, who stood out, and why it matters for Golf / LPGA fans.

Why it matters: This is timely Golf / LPGA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,carousel,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major

Here is the quick version of what happened and why it matters.

Why it matters: This is timely Golf / LPGA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Must Post,story,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major

Quick hit: This is timely Golf / LPGA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #LPGA #Golf"
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,feed,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,carousel,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Must Post,story,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
3,PWHL Las Vegas signs first-ever players ahead of inaugural season,Maybe Post,feed,"PWHL Las Vegas signs first-ever players ahead of inaugural season

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
3,PWHL Las Vegas signs first-ever players ahead of inaugural season,Maybe Post,carousel,"PWHL Las Vegas signs first-ever players ahead of inaugural season

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
3,PWHL Las Vegas signs first-ever players ahead of inaugural season,Maybe Post,story,"PWHL Las Vegas signs first-ever players ahead of inaugural season

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,feed,"Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,carousel,"Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
4,Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships,Maybe Post,story,"Reese Atwood Caps Texas Career with Back-to-Back WCWS Championships

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Softball #WCWS"
5,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Maybe Post,feed,"WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Maybe Post,carousel,"WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
5,WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?,Maybe Post,story,"WNBA gameday discussion: Can the Toronto Tempo and Portland Fire earn their first-ever Commissioner’s Cup wins?

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
6,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Maybe Post,feed,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026

What happened, who stood out, and why it matters for WNBA fans.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
6,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Maybe Post,carousel,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026

Here is the quick version of what happened and why it matters.

Why it matters: This is timely WNBA coverage with a result fans may want explained quickly.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
6,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026",Maybe Post,story,"Indiana Fever vs. New York Liberty - Final Score - June 06, 2026

Quick hit: This is timely WNBA coverage with a result fans may want explained quickly.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #WNBA #WomensBasketball"
7,Breaking News: Mirra Andreeva Wins Women's French Open Final Stream of Tennis,Save for Weekend,feed,"Breaking News: Mirra Andreeva Wins Women's French Open Final Stream of Tennis

What happened, who stood out, and why it matters for Women's Sports fans.

Why it matters: This is timely Women's Sports coverage with a result fans may want explained quickly.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews"
