rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,1,Hook,Nelly Korda wins U.S. Women's Open title with perilous,The story you need to know.
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,2,Context,What happened,This is timely Golf / LPGA coverage with a result fans may want explained quickly.
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,3,Angle,The angle,"What happened, who stood out, and why it matters for Golf / LPGA fans."
1,"Nelly Korda wins U.S. Women's Open title with perilous final putt, claiming her 2nd straight major",Postgame Recap Template,"Nelly Korda wins U.S. Women's Open title with perilous final putt,","What happened, who stood out, and why it matters for Golf / LPGA fans.",More LPGA coverage daily,4,CTA,Your take on this Golf / LPGA story?,Follow Her Sports Daily for more.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter",The story you need to know.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
2,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1 Month Into 2026",Tonight in the W 4-Slide Template,"A’ja Wilson, Caitlin Clark, and Top Rookies Shatter WNBA Records 1",Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
3,PWHL Las Vegas signs first-ever players ahead of inaugural season,Milestone Graphic Template,PWHL Las Vegas signs first-ever players ahead of inaugural season,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,1,Hook,PWHL Las Vegas signs first-ever players ahead of,The story you need to know.
3,PWHL Las Vegas signs first-ever players ahead of inaugural season,Milestone Graphic Template,PWHL Las Vegas signs first-ever players ahead of inaugural season,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
